id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778587921.047089,0.7602383,-0.4144092,0.9581688,-1.9355855,0.44421527,1.6399746
2,1778587921.109761,0.4271002,-0.2272173,0.16229807,3.384878,-0.8671253,-1.0934939
3,1778587921.1723437,0.123004854,-0.39976576,0.071020655,2.7851338,3.3710294,-2.457565
4,1778587921.248084,0.4583395,-5.239665,1.3240106,3.204848,-2.3339944,-1.0945592
5,1778587921.3061702,0.7575537,-0.5437595,-0.7575537,1.257012,3.1739554,-0.6689861
6,1778587921.3651838,-0.4527262,0.18401916,-0.14716652,-1.5947009,0.4745753,1.0439591
7,1778587921.4279559,0.08981306,0.4249037,-0.51496077,-2.8953888,-3.2096417,2.7808728
8,1778587921.4900086,0.06321083,-0.9772052,-1.3559821,4.36066,3.8067226,-0.85753787
9,1778587921.5532963,-0.45907167,-1.2476206,-0.59989274,-3.8440068,-1.2117383,-1.0333065
10,1778587921.6282911,-0.094206095,-3.095134,0.36047253,-2.390986,-0.67484504,1.7006947
11,1778587921.6700783,1.5282865,-3.2635336,0.32508424,-3.6661077,-0.12942964,1.8690065
12,1778587921.7332275,0.29774985,-1.2859375,0.1381364,-1.5472966,-1.4205302,1.081776
13,1778587921.796488,0.6496804,-0.469078,0.82125264,0.015446335,-0.1635181,1.5749935
14,1778587921.8581543,0.41611758,-0.13764828,-0.042465962,3.294863,0.31372038,-1.0327739
15,1778587921.921914,0.09225364,-0.041001618,-0.020500809,3.1302795,2.2610238,-2.0516994
16,1778587921.9839008,1.1063116,-5.2667556,1.3823403,3.095126,4.5614624,-2.7425234
17,1778587922.0469515,0.62551874,-0.3824377,-0.71728426,1.7427727,3.8615837,-0.43995422
18,1778587922.1088781,-0.5000733,0.21037734,0.08322352,-1.8732675,-0.16245283,1.7406421
19,1778587922.1708553,0.13398743,0.37633628,-0.3431445,-2.6700854,-2.6317358,2.3845944
20,1778587922.2340043,0.14960709,-1.0596966,-0.22624107,5.074387,0.22690132,-1.2016183
21,1778587922.2953923,-0.20159128,-0.4544346,-0.8881243,-3.9979374,-0.35313517,-1.0641992
22,1778587922.357859,0.44540447,-2.6863382,-1.0355349,-2.6423886,0.17736652,1.8056233
23,1778587922.4203503,0.9999026,-1.3225462,0.6804316,-3.965447,-0.98590225,-0.94329166
24,1778587922.4830275,0.1461903,-1.121199,0.2020794,-1.8913771,-0.45859635,1.4258565
25,1778587922.5449538,0.81295466,-0.47981656,0.6626154,1.778459,-0.9155948,0.11611383
26,1778587922.6074283,0.30726805,-0.22160399,-0.15375607,2.9854035,1.0199907,-2.14491
27,1778587922.6704788,0.34168017,-1.6403086,-0.026358182,3.5936697,4.1966095,-2.6881948
28,1778587922.7325134,0.61795294,-2.9867725,-0.20110317,4.9753175,-2.492719,-0.08522116
29,1778587922.795064,0.10884953,-0.014643434,-0.32069123,1.202151,3.4812841,-0.716923
30,1778587922.8576903,-0.64235866,0.810026,-0.3692586,-2.850115,0.1257012,1.8642128
31,1778587922.9201899,0.6433349,0.40635532,0.9859913,-1.7566211,-3.184608,2.026133
32,1778587922.9822757,-0.5859815,-0.47078642,-1.1878266,-1.6676716,-0.35952675,-0.91186637
33,1778587923.0445948,-0.66700846,-1.8616686,-1.4265146,-3.2943304,-1.9936424,-0.2908172
34,1778587923.1072824,0.46834585,-2.9562654,-0.90472025,-3.1664987,0.4708469,1.6389093
35,1778587923.1697493,0.4058672,-0.69336665,1.1795286,-1.9425098,-2.5374599,-1.005077
36,1778587923.2339854,0.24283697,-0.16229807,1.2354177,-2.1268005,0.007989483,1.9558256
37,1778587923.294664,0.5771954,-0.4556549,0.5264315,2.7601001,-0.21038973,-0.34194988
38,1778587923.3568594,0.2169669,-0.32215557,-0.025381953,2.6296053,0.4261058,-1.5840483
39,1778587923.4202013,0.635281,-1.6466542,-0.3214234,3.7113814,4.6339,-2.8916605
40,1778587923.481667,0.21281794,-1.0941086,-0.44491637,4.5673213,1.2873721,-0.14913702
41,1778587923.5445294,-0.22819352,-0.29897013,-0.06858008,-0.78776306,0.89109373,0.23222765
42,1778587923.6068175,-0.80392456,0.47078642,-0.91521466,-2.7675571,0.7728494,1.9078887
43,1778587923.669915,0.5791479,-0.737541,5.316543,6.236058,-3.8418763,-0.40053943
44,1778587923.731818,-0.2723679,-0.6469958,-0.49641246,-3.0567763,-1.7406421,-0.9986854
45,1778587923.7953,-0.08371163,-1.9710064,-0.8844635,-3.1643682,-1.6298546,0.82344943
46,1778587923.8579648,2.2543569,-2.55772,-0.19475769,-3.8099184,-4.6919575,1.5803198
47,1778587923.9201272,0.19671014,-0.91448253,0.74193406,-2.2466428,-1.0934939,0.24767399
48,1778587923.9818718,0.40781966,-0.2255089,1.1485333,-1.2676647,1.417867,2.0341225
49,1778587924.0447667,0.4087959,-0.084687866,-0.14008886,3.0274816,-0.042077947,-1.1531488
50,1778587924.107369,0.09469421,-0.27480847,-0.0134231495,3.118029,2.8927257,-1.7507621
51,1778587924.1691058,0.4166057,-6.159761,1.9634405,2.7174897,0.9443569,-1.861017
52,1778587924.232557,0.37804466,-0.62356627,-0.74413055,3.5824845,2.8554413,0.27537087
53,1778587924.2940392,-0.18938842,0.10958171,-0.08371163,-1.3795174,0.68869346,-0.068176925
54,1778587924.356464,-0.18938842,0.10958171,-0.08371163,-1.3795174,0.68869346,-0.068176925
55,1778587924.4198031,0.33265,0.23673552,0.6552937,-2.1523669,-4.5337653,0.7392935
56,1778587924.4822392,0.33265,0.23673552,0.6552937,-2.1523669,-4.5337653,0.7392935
57,1778587924.544605,-0.13886857,-1.9331775,-0.6386978,-2.2082932,-0.70680296,0.8293084
58,1778587924.6070473,2.3583252,-2.0476403,0.032459613,-3.8184404,-1.6618125,0.26205507
59,1778587924.6697874,0.08151512,-0.8422416,0.69117016,-1.3171995,-0.37603834,1.1808456
