id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778615358412,-0.36,-0.3,4.8,-414.06,-216.0,-95.21
1,1778615358428,-0.12,0.61,4.0,-451.23,-18.55,-88.5
2,1778615358444,-0.12,0.61,4.0,-451.23,-18.55,-88.5
3,1778615358444,-0.12,0.61,4.0,-451.23,-18.55,-88.5
4,1778615358460,-0.12,0.61,4.0,-451.23,-18.55,-88.5
5,1778615358476,0.46,2.19,4.35,-366.82,-128.3,-52.49
6,1778615358476,0.46,2.19,4.35,-366.82,-128.3,-52.49
7,1778615358492,0.46,2.19,4.35,-366.82,-128.3,-52.49
8,1778615358508,0.28,3.18,3.48,-318.79,68.12,-52.19
9,1778615358508,0.28,3.18,3.48,-318.79,68.12,-52.19
10,1778615358525,0.28,3.18,3.48,-318.79,68.12,-52.19
11,1778615358525,0.28,3.18,3.48,-318.79,68.12,-52.19
12,1778615358541,0.29,3.44,2.02,-66.89,1.04,113.71
13,1778615358557,0.29,3.44,2.02,-66.89,1.04,113.71
14,1778615358557,0.29,3.44,2.02,-66.89,1.04,113.71
15,1778615358573,0.29,3.44,2.02,-66.89,1.04,113.71
16,1778615358573,0.29,3.44,2.02,-66.89,1.04,113.71
17,1778615358589,1.34,4.2,1.55,98.94,4.94,81.12
18,1778615358605,1.34,4.2,1.55,98.94,4.94,81.12
19,1778615358605,1.34,4.2,1.55,98.94,4.94,81.12
20,1778615358621,0.48,2.89,2.32,160.83,-19.59,-140.93
21,1778615358637,0.48,2.89,2.32,160.83,-19.59,-140.93
22,1778615358637,0.48,2.89,2.32,160.83,-19.59,-140.93
23,1778615358653,-0.92,1.34,2.97,160.83,-19.59,-140.93
24,1778615358653,-0.92,1.34,2.97,160.83,-19.59,-140.93
25,1778615358669,-0.92,1.34,2.97,278.87,7.2,-125.61
26,1778615358686,-0.92,1.34,2.97,278.87,7.2,-125.61
27,1778615358686,-0.92,1.34,2.97,278.87,7.2,-125.61
28,1778615358701,-0.94,1.14,3.46,278.87,7.2,-125.61
29,1778615358717,-0.94,1.14,3.46,386.96,44.98,-6.04
