id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778616232018,-0.74,-0.12,-0.27,-88.26,63.96,17.88
1,1778616232083,-0.74,-0.12,-0.27,-88.26,63.96,17.88
2,1778616232131,-0.27,-0.19,-0.05,47.12,95.28,-122.62
3,1778616232179,-0.0,-0.02,0.43,89.66,-59.33,-13.31
4,1778616232228,-0.02,0.04,0.51,148.56,-17.88,45.04
5,1778616232275,-0.27,-0.34,0.31,130.37,19.29,81.42
6,1778616232323,-0.27,-0.34,0.31,130.37,19.29,81.42
7,1778616232371,-0.27,-0.34,0.31,130.37,19.29,81.42
8,1778616232419,-0.27,-0.34,0.31,130.37,19.29,81.42
9,1778616232484,-0.27,-0.34,0.31,130.37,19.29,81.42
10,1778616232533,-0.27,-0.34,0.31,130.37,19.29,81.42
11,1778616232581,-0.27,-0.34,0.31,130.37,19.29,81.42
12,1778616232630,-0.27,-0.34,0.31,130.37,19.29,81.42
13,1778616232677,0.03,-0.07,-0.18,-107.06,68.18,-3.54
14,1778616232726,-0.41,-0.3,-0.1,-75.01,51.57,1.71
15,1778616232773,0.33,0.09,0.53,-51.57,-94.79,70.98
16,1778616232821,0.33,0.09,0.53,-51.57,-94.79,70.98
17,1778616232870,-0.13,-1.14,1.05,137.33,-234.01,76.23
18,1778616232934,-0.38,-3.35,0.26,0.49,187.56,-70.07
19,1778616232982,-0.38,-3.35,0.26,0.49,187.56,-70.07
20,1778616233031,-0.2,0.14,0.05,21.73,76.97,-109.44
21,1778616233079,-0.08,0.62,0.05,67.63,37.05,-163.7
22,1778616233126,-0.08,0.62,0.05,67.63,37.05,-163.7
23,1778616233175,-0.08,0.62,0.05,67.63,37.05,-163.7
24,1778616233223,-0.08,0.62,0.05,67.63,37.05,-163.7
25,1778616233272,-0.08,0.62,0.05,67.63,37.05,-163.7
26,1778616233320,-0.34,0.19,0.78,124.63,-52.43,34.18
27,1778616233385,1.0,-1.44,2.22,19.23,-80.75,89.36
28,1778616233433,1.0,-1.44,2.22,19.23,-80.75,89.36
29,1778616233481,0.36,-3.0,1.49,-57.07,-146.91,20.45
30,1778616233529,0.57,-1.51,0.86,-41.87,-67.2,-63.17
31,1778616233578,0.57,-1.51,0.86,-41.87,-67.2,-63.17
32,1778616233626,0.26,0.34,-0.34,6.53,21.0,-14.16
33,1778616233674,-0.55,0.08,0.53,-51.27,86.85,39.18
34,1778616233724,-0.55,0.08,0.53,-51.27,86.85,39.18
35,1778616233772,-0.55,0.08,0.53,-51.27,86.85,39.18
36,1778616233821,-0.55,0.08,0.53,-51.27,86.85,39.18
37,1778616233869,0.12,-0.29,1.08,50.48,-64.21,61.1
38,1778616233933,-0.23,-3.22,1.03,-6.59,60.42,-99.12
39,1778616233981,-0.65,-3.25,0.65,-72.57,169.31,-17.76
40,1778616234029,-0.65,-3.25,0.65,-72.57,169.31,-17.76
41,1778616234076,-0.65,-3.25,0.65,-72.57,169.31,-17.76
42,1778616234125,-0.65,-3.25,0.65,-72.57,169.31,-17.76
43,1778616234173,-0.01,0.24,0.08,-9.4,10.74,-29.17
44,1778616234222,-0.01,0.24,0.08,-9.4,10.74,-29.17
45,1778616234270,-0.01,0.24,0.08,-9.4,10.74,-29.17
46,1778616234334,-0.01,0.24,0.08,-9.4,10.74,-29.17
47,1778616234382,-0.43,-1.34,0.51,54.2,113.28,106.57
48,1778616234430,0.55,-1.39,2.25,152.28,15.75,-45.65
49,1778616234479,0.25,-2.77,1.54,-53.89,-14.65,44.37
