id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778615120141,-0.03,0.4,-0.96,11.05,0.31,-0.12
1,1778615120206,-0.03,0.4,-0.96,11.05,0.31,-0.12
2,1778615120254,-0.03,0.4,-0.96,11.05,0.31,-0.12
3,1778615120303,-0.03,0.4,-0.96,11.05,0.31,-0.12
4,1778615120351,-0.03,0.4,-0.96,11.05,0.31,-0.12
5,1778615120400,-0.03,0.4,-0.96,11.05,0.31,-0.12
6,1778615120447,-0.03,0.4,-0.96,11.05,0.31,-0.12
7,1778615120495,-0.03,0.4,-0.96,11.05,0.31,-0.12
8,1778615120544,-0.03,0.4,-0.96,11.05,0.31,-0.12
9,1778615120593,-0.03,0.4,-0.96,11.05,0.31,-0.12
10,1778615120642,-0.03,0.4,-0.96,11.05,0.31,-0.12
11,1778615120706,-0.03,0.4,-0.96,11.05,0.31,-0.12
12,1778615120755,-0.03,0.4,-0.96,11.05,0.31,-0.12
13,1778615120805,-0.03,0.4,-0.96,11.05,0.31,-0.12
14,1778615120854,-0.03,0.4,-0.96,11.05,0.31,-0.12
15,1778615120902,-0.03,0.4,-0.96,11.05,0.31,-0.12
16,1778615120950,-0.03,0.4,-0.96,11.05,0.31,-0.12
17,1778615120997,-0.03,0.4,-0.96,11.05,0.31,-0.12
18,1778615121045,-0.03,0.4,-0.96,11.05,0.31,-0.12
19,1778615121094,-0.03,0.4,-0.96,11.05,0.31,-0.12
20,1778615121142,-0.03,0.4,-0.96,11.05,0.31,-0.12
21,1778615121191,-0.03,0.4,-0.96,11.05,0.31,-0.12
22,1778615121256,-0.03,0.4,-0.96,11.05,0.31,-0.12
23,1778615121305,-0.03,0.4,-0.96,11.05,0.31,-0.12
24,1778615121354,-0.03,0.4,-0.96,11.05,0.31,-0.12
25,1778615121403,-0.03,0.4,-0.96,11.05,0.31,-0.12
26,1778615121451,-0.03,0.4,-0.96,11.05,0.31,-0.12
27,1778615121498,-0.03,0.4,-0.96,11.05,0.31,-0.12
28,1778615121546,-0.03,0.4,-0.96,11.05,0.31,-0.12
29,1778615121595,-0.03,0.4,-0.96,11.05,0.31,-0.12
