id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778616053676,-0.68,0.15,0.98,-17.82,4.15,6.16
1,1778616053741,-0.68,0.15,0.98,-17.82,4.15,6.16
2,1778616053789,-0.68,0.15,0.98,-17.82,4.15,6.16
3,1778616053838,-0.68,0.15,0.98,-17.82,4.15,6.16
4,1778616053887,-0.68,0.15,0.98,-17.82,4.15,6.16
5,1778616053936,-0.68,0.15,0.98,-17.82,4.15,6.16
6,1778616053984,-0.68,0.15,0.98,-17.82,4.15,6.16
7,1778616054034,-0.68,0.15,0.98,-17.82,4.15,6.16
8,1778616054082,-0.68,0.15,0.98,-17.82,4.15,6.16
9,1778616054131,-0.68,0.15,0.98,-17.82,4.15,6.16
10,1778616054178,-0.68,0.15,0.98,-17.82,4.15,6.16
11,1778616054227,-0.68,0.15,0.98,-17.82,4.15,6.16
12,1778616054292,-0.68,0.15,0.98,-17.82,4.15,6.16
13,1778616054341,-0.68,0.15,0.98,-17.82,4.15,6.16
14,1778616054390,-0.68,0.15,0.98,-17.82,4.15,6.16
15,1778616054439,-0.68,0.15,0.98,-17.82,4.15,6.16
16,1778616054488,-0.68,0.15,0.98,-17.82,4.15,6.16
17,1778616054537,-0.68,0.15,0.98,-17.82,4.15,6.16
18,1778616054585,-0.68,0.15,0.98,-17.82,4.15,6.16
19,1778616054634,-0.68,0.15,0.98,-17.82,4.15,6.16
20,1778616054683,-0.68,0.15,0.98,-17.82,4.15,6.16
21,1778616054731,-0.68,0.15,0.98,-17.82,4.15,6.16
22,1778616054780,-0.68,0.15,0.98,-17.82,4.15,6.16
23,1778616054829,-0.8,0.03,0.68,4.09,-6.65,-5.8
24,1778616054877,-0.77,0.05,0.7,5.55,-3.36,-9.09
25,1778616054942,-0.82,0.03,0.69,8.36,-7.26,-7.2
26,1778616054991,-0.79,-0.0,0.67,6.16,-4.46,-2.81
27,1778616055038,-0.82,0.0,0.66,4.88,-7.26,-3.48
28,1778616055087,-0.79,-0.03,0.69,3.23,-5.0,0.43
29,1778616055135,-0.76,-0.0,0.72,1.59,-2.93,3.48
30,1778616055184,-0.77,-0.01,0.72,1.16,0.06,3.42
31,1778616055233,-0.79,0.02,0.68,4.82,0.37,1.46
32,1778616055282,-0.81,0.03,0.68,8.3,0.79,1.1
33,1778616055331,-0.8,0.02,0.69,7.39,-0.31,1.65
34,1778616055379,-0.79,0.02,0.69,0.18,1.89,-0.67
