id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778614703080,-0.13,1.12,0.27,33.63,31.92,13.12
1,1778614703144,-0.02,1.27,0.28,48.65,39.25,19.96
2,1778614703192,-0.05,1.45,0.06,77.39,8.48,-1.28
3,1778614703241,-0.1,1.4,-0.0,56.46,59.57,-31.68
4,1778614703289,-0.36,1.15,0.08,59.75,3.91,-12.39
5,1778614703337,-0.37,0.96,0.0,71.66,36.13,23.62
6,1778614703385,-0.37,0.69,0.05,29.05,-78.86,97.66
7,1778614703434,-0.2,0.68,0.24,-5.98,46.81,24.96
8,1778614703482,-0.16,0.45,-0.04,-43.58,21.24,-23.56
9,1778614703547,-0.06,0.5,0.59,-44.19,-18.92,33.39
10,1778614703596,-0.03,0.71,0.83,-75.38,-16.05,-6.35
11,1778614703645,-0.03,0.58,0.76,-57.62,-20.57,-3.6
12,1778614703694,-0.03,0.58,0.76,-57.62,-20.57,-3.6
13,1778614703742,-0.02,0.83,0.83,-44.43,16.42,-22.77
14,1778614703790,-0.01,0.83,0.78,-43.58,-10.99,0.61
15,1778614703838,-0.01,0.83,0.78,-43.58,-10.99,0.61
16,1778614703885,-0.02,0.8,1.05,-13.67,-9.64,-13.18
17,1778614703933,-0.07,0.84,1.02,-6.35,-16.97,-0.12
18,1778614703996,-0.07,0.84,1.02,-6.35,-16.97,-0.12
19,1778614704044,-0.11,0.78,1.05,3.23,3.36,-7.87
20,1778614704092,-0.11,0.8,1.02,-0.37,-7.51,9.64
21,1778614704139,-0.06,0.96,1.0,11.05,1.22,-6.53
22,1778614704186,-0.15,0.88,1.02,5.07,7.26,-16.24
23,1778614704235,-0.15,0.87,1.14,9.28,10.62,5.68
24,1778614704282,-0.14,0.61,1.18,18.92,38.64,-31.01
25,1778614704346,-0.09,0.6,1.15,35.46,23.38,31.07
26,1778614704393,-0.12,0.55,0.56,26.55,51.94,-28.93
27,1778614704441,-0.09,0.51,0.75,52.67,12.7,54.02
