id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778615639939,0.37,-0.59,0.85,-45.59,-32.29,-1.04
1,1778615640003,0.35,-0.7,0.66,-17.76,-52.8,13.12
2,1778615640051,0.37,-0.68,0.6,-15.56,-15.26,-7.57
3,1778615640098,0.34,-0.75,0.61,-1.65,-10.99,-2.93
4,1778615640146,0.33,-0.77,0.61,17.58,-11.72,0.37
5,1778615640195,0.38,-0.71,0.66,19.1,0.43,-11.66
6,1778615640244,0.41,-0.69,0.67,20.94,-0.98,-9.89
7,1778615640292,0.41,-0.67,0.69,18.13,0.0,-9.89
8,1778615640341,0.41,-0.67,0.69,18.13,0.0,-9.89
9,1778615640405,0.41,-0.67,0.71,15.75,-2.99,-6.65
10,1778615640454,0.38,-0.66,0.68,18.37,5.68,-2.81
11,1778615640503,0.4,-0.6,0.67,13.37,8.12,-5.43
12,1778615640550,0.42,-0.63,0.7,12.76,12.57,-20.02
13,1778615640598,0.41,-0.65,0.76,16.6,13.67,-32.23
14,1778615640647,0.44,-0.66,0.81,15.32,17.27,-37.84
15,1778615640695,0.46,-0.72,0.81,10.25,11.23,-28.02
16,1778615640744,0.43,-0.54,0.73,23.19,-21.42,-0.61
17,1778615640793,0.48,-0.57,0.74,17.64,2.56,-14.04
18,1778615640841,0.46,-0.57,0.79,26.37,-17.09,11.23
19,1778615640890,0.49,-0.6,0.87,24.54,1.16,11.41
20,1778615640954,0.5,-0.58,0.88,5.74,2.14,12.76
21,1778615641001,0.48,-0.48,0.82,-1.22,9.03,-3.17
22,1778615641049,0.51,-0.5,0.82,-1.34,13.06,3.54
23,1778615641097,0.44,-0.51,0.84,25.76,-17.09,4.82
24,1778615641145,0.44,-0.57,0.79,8.0,4.39,0.18
25,1778615641194,0.41,-0.51,0.73,12.21,-3.97,10.31
26,1778615641242,0.44,-0.6,0.79,6.9,10.86,7.93
27,1778615641291,0.44,-0.52,0.82,-3.72,14.95,-1.16
28,1778615641355,0.45,-0.57,0.86,8.0,-7.63,10.86
29,1778615641404,0.4,-0.56,0.83,-2.14,-4.52,10.8
30,1778615641451,0.44,-0.57,0.83,-8.18,3.91,11.05
31,1778615641500,0.47,-0.57,0.77,-5.13,-6.16,17.76
32,1778615641548,0.47,-0.57,0.77,-5.13,-6.16,17.76
33,1778615641595,0.4,-0.58,0.79,-17.94,-0.18,6.84
34,1778615641643,0.42,-0.61,0.74,-17.94,-9.95,6.77
