id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778614528733,0.41,2.01,0.82,-78.61,135.38,-156.31
1,1778614528797,-0.25,1.83,-0.48,12.88,145.32,-222.72
2,1778614528846,-0.78,1.27,0.12,146.55,10.44,206.18
3,1778614528894,-0.79,1.37,0.94,213.26,-2.75,191.77
4,1778614528942,-2.2,0.82,5.58,267.82,115.42,160.1
5,1778614528991,-1.16,0.28,6.24,428.71,-2.81,267.58
6,1778614529039,-1.26,-2.61,2.59,348.51,192.38,168.09
7,1778614529087,-0.09,-2.82,0.08,212.34,29.24,366.33
8,1778614529135,0.73,-2.39,-0.92,32.9,30.03,225.77
9,1778614529199,0.8,-1.87,-0.36,-252.2,-8.42,-78.43
10,1778614529248,-0.09,-1.39,2.25,-373.35,-93.93,-319.7
11,1778614529296,-0.75,0.59,6.02,-380.25,-106.51,-324.83
12,1778614529345,-1.49,1.41,4.68,-287.05,79.47,-346.86
13,1778614529393,-1.16,1.58,2.42,-205.57,-14.4,-168.15
14,1778614529441,-0.9,1.83,0.07,-69.27,95.28,-176.82
15,1778614529489,-1.25,1.47,-0.42,34.73,-2.5,120.85
16,1778614529537,-0.12,1.7,0.02,123.96,-5.8,197.45
17,1778614529585,-1.01,1.32,3.18,176.7,36.32,124.27
18,1778614529634,-1.66,1.39,5.02,401.37,20.26,232.24
19,1778614529698,-1.18,-1.26,4.24,393.74,104.0,141.97
20,1778614529746,-0.7,-2.58,0.28,255.55,28.56,281.43
21,1778614529795,0.25,-2.74,-0.68,75.93,66.1,242.49
22,1778614529843,0.48,-2.02,-0.2,-232.67,17.09,-103.39
23,1778614529891,0.26,-1.65,0.84,-308.84,-33.45,-193.6
24,1778614529940,-0.02,-0.79,2.72,-335.88,-90.15,-269.17
25,1778614529989,-0.8,0.77,5.07,-290.95,-76.05,-360.05
26,1778614530038,-0.67,2.0,3.01,-235.6,-30.76,-116.88
27,1778614530085,-0.77,1.9,1.62,-155.09,56.4,-100.34
28,1778614530134,-0.27,1.51,0.37,-83.31,93.57,-27.16
29,1778614530197,0.2,1.64,-0.2,56.15,-15.5,10.5
30,1778614530245,-0.08,1.41,-0.05,155.09,19.29,95.21
31,1778614530293,-0.52,1.71,0.98,239.62,-43.64,56.7
32,1778614530342,-1.98,1.67,5.72,428.22,47.49,261.05
