id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778615496373,-0.4,-0.23,-0.18,427.43,25.76,41.63
1,1778615496437,-0.33,-0.1,-0.22,42.91,-94.73,114.93
2,1778615496485,-1.28,0.08,0.42,105.04,-145.75,188.42
3,1778615496534,-2.75,0.53,0.24,-45.78,-85.27,-10.5
4,1778615496583,-1.81,-0.19,0.17,8.0,12.94,17.7
5,1778615496631,-1.47,-0.28,0.2,-112.61,45.35,-58.65
6,1778615496679,-0.71,-0.29,0.14,-133.91,94.97,-77.76
7,1778615496727,-0.05,-0.05,0.08,-43.64,141.54,-98.57
8,1778615496774,-0.05,-0.05,0.08,-43.64,141.54,-98.57
9,1778615496838,0.02,0.02,0.03,-256.84,-6.96,-6.59
10,1778615496887,0.02,0.02,0.03,-256.84,-6.96,-6.59
11,1778615496936,0.02,0.02,0.03,-256.84,-6.96,-6.59
12,1778615496984,-1.78,0.04,-0.3,41.26,-8.36,-20.75
13,1778615497032,-2.61,-0.54,-0.49,-108.09,39.55,-41.38
14,1778615497080,-0.79,-0.16,-0.02,35.22,136.96,-5.62
15,1778615497128,0.0,-1.25,2.08,522.03,13.12,-76.17
16,1778615497176,-0.88,0.41,-0.46,229.13,-97.72,64.39
17,1778615497239,0.1,0.22,-0.27,-25.94,69.89,140.08
18,1778615497287,0.09,0.26,-0.29,112.37,-129.76,177.0
19,1778615497335,-0.46,0.97,0.44,481.38,-294.19,191.16
20,1778615497382,-3.4,1.01,-0.31,262.51,175.05,89.54
21,1778615497429,-2.21,-0.3,0.04,-45.65,22.64,-193.48
22,1778615497478,-1.65,-0.74,0.3,-82.82,41.81,-176.76
23,1778615497526,-0.5,-0.26,0.03,-198.0,-30.58,-150.76
24,1778615497590,0.06,0.05,0.07,-84.17,81.67,-141.3
25,1778615497639,0.64,0.25,1.53,152.77,49.5,-145.75
26,1778615497687,-0.01,0.08,-0.09,-171.57,-99.98,-29.54
27,1778615497735,-0.57,0.01,-0.65,-112.0,-125.43,157.35
28,1778615497782,-3.49,-1.2,-1.13,59.33,112.79,84.59
29,1778615497829,-1.03,-0.56,0.1,39.55,-60.12,16.97
30,1778615497877,-2.34,-1.25,-0.49,-3.36,-1.53,-54.08
31,1778615497925,-0.8,-0.52,-0.11,95.83,125.0,-58.84
32,1778615497988,-0.17,-0.13,0.06,10.19,89.72,-104.8
33,1778615498036,-0.79,-0.14,-0.42,-545.53,-380.19,-90.88
34,1778615498084,0.09,0.37,0.37,137.63,-64.64,57.74
35,1778615498131,0.15,0.04,0.11,281.25,92.1,-14.04
36,1778615498179,-0.34,-0.59,0.36,362.18,40.34,138.85
37,1778615498228,-1.77,0.04,0.25,-29.24,-116.21,226.01
38,1778615498275,-1.83,-0.96,0.39,46.88,55.66,28.56
39,1778615498340,-2.02,-1.38,0.41,-50.35,68.73,-15.44
40,1778615498388,-0.18,-0.16,0.05,-172.49,-22.89,-123.66
41,1778615498437,0.08,0.07,0.11,-201.42,40.59,-147.52
42,1778615498485,0.1,0.07,0.09,-180.54,74.4,-149.78
43,1778615498533,0.76,-0.02,2.64,264.65,-210.82,-164.43
44,1778615498581,-0.02,0.05,-0.1,-181.7,-47.24,-36.38
45,1778615498629,-0.74,-0.77,-0.43,-108.28,-92.29,150.02
