id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778597710173,4.406416,-0.23916028,6.3625054,-0.3231477,5.1379876,-1.9862283
1,1778597710183,4.1184716,-0.8596843,6.2800617,1.1876748,5.364008,-1.7402023
2,1778597710193,3.902362,-1.6632068,6.2887206,3.385568,4.61188,-1.426065
3,1778597710203,3.7863185,-1.876573,5.924736,4.9168544,3.9051087,-1.370629
4,1778597710213,3.7863185,-1.876573,5.924736,4.9168544,3.9051087,-1.370629
5,1778597710223,3.72912,-2.039997,5.242928,6.7621255,3.499647,-1.1200215
6,1778597710233,3.7375963,-2.1201236,4.1353636,6.7094383,4.295604,-0.8935431
7,1778597710243,3.6422856,-2.1003664,3.9499867,6.611242,4.867527,-0.79137594
8,1778597710253,3.4613605,-2.0796945,3.895776,6.9252267,5.2273264,-0.6979135
9,1778597710263,3.2854967,-2.1823225,3.9961479,6.9252267,5.2273264,-0.6979135
10,1778597710273,3.2854967,-2.1823225,3.9961479,9.0533285,4.517043,-0.6620252
11,1778597710283,3.1825638,-2.6323485,3.8339431,10.571787,3.8647916,-0.75609845
12,1778597710293,3.1825638,-2.6323485,3.8339431,10.571787,3.8647916,-0.75609845
13,1778597710303,3.2995217,-3.2297006,3.0545075,13.745384,2.1305454,-1.7737999
14,1778597710313,3.3470247,-3.6597865,1.8561449,14.616478,0.7153232,-3.275765
15,1778597710323,3.3470247,-3.6597865,1.8561449,14.616478,0.7153232,-3.275765
16,1778597710333,3.3470247,-3.6597865,1.8561449,14.384655,0.33826664,-3.7797287
17,1778597710343,3.099754,-3.4075158,1.220437,13.587934,-0.4859433,-4.7050366
18,1778597710353,2.8996205,-3.1531718,0.9955459,12.229369,-1.2356277,-5.583919
19,1778597710363,2.7888823,-2.8857782,0.9926189,10.527347,-1.7478381,-6.2838182
20,1778597710373,2.9911501,-2.7049139,1.2365355,9.222996,-1.8947513,-6.7587657
21,1778597710383,3.0583491,-2.4783154,1.5497246,7.5000505,-1.0978775,-7.6842265
22,1778597710393,3.0583491,-2.4783154,1.5497246,7.0217433,-0.88270026,-7.8680973
23,1778597710403,3.0318232,-2.414653,1.534053,6.696763,-1.0764973,-7.9818707
24,1778597710413,2.8908396,-2.3601985,1.4656953,6.6698847,-1.7272215,-7.9719443
25,1778597710423,2.833519,-2.3510518,1.390447,6.6698847,-1.7272215,-7.9719443
26,1778597710433,2.7799184,-2.2487898,1.3219063,6.529844,-3.4448218,-7.5571666
27,1778597710443,2.8315067,-2.2036653,1.3072715,6.403242,-4.1534257,-7.3801684
28,1778597710453,3.070972,-2.0676818,1.460512,5.9395957,-5.3927183,-7.3473344
29,1778597710463,3.1156085,-2.1289656,1.5635668,5.7651935,-5.5197783,-7.505701
30,1778597710473,2.9670024,-2.15726,1.6740001,5.81223,-5.298798,-7.662999
31,1778597710483,2.7173536,-2.3862367,1.4258149,6.0962825,-4.7942233,-7.6914043
32,1778597710493,2.5273426,-2.564357,1.126834,6.10514,-4.5888195,-7.574729
33,1778597710503,1.9879209,-2.6932058,0.5904003,6.10514,-4.5888195,-7.574729
34,1778597710513,1.5791165,-2.639666,0.29812714,4.87837,-3.901291,-6.3080997
35,1778597710523,1.2365355,-2.6704607,0.16202165,4.1430407,-3.6900842,-5.682421
36,1778597710533,0.98042303,-2.7613196,0.13915445,3.3615913,-3.355941,-5.0805664
37,1778597710543,0.6208289,-2.7794304,0.18549863,2.5806003,-2.8852692,-4.5431576
38,1778597710553,-0.45246542,-3.1362805,0.5441171,0.5421429,-1.3629931,-4.0080395
39,1778597710563,-0.9444453,-3.2811062,0.6954674,0.25579983,-0.6027713,-3.7963748
40,1778597710573,-0.9444453,-3.2811062,0.6954674,0.25579983,-0.6027713,-3.7963748
41,1778597710583,-1.592105,-3.4070892,0.6612581,0.15806139,0.25167647,-3.30753
42,1778597710593,-2.026033,-3.4085524,0.5760092,0.15042557,0.6221663,-2.8919888
43,1778597710603,-3.1764047,-3.126036,0.6068647,-0.539394,0.95737857,-1.2339478
44,1778597710613,-3.416114,-3.6577137,0.17385161,-1.3741413,1.9414824,-0.75747293
45,1778597710623,-3.743755,-3.208175,0.5578374,-1.9485074,3.031877,-0.5367978
46,1778597710633,-4.0209055,-3.155306,0.55100775,-1.5954273,3.1552718,-0.3210097
47,1778597710643,-4.1341434,-3.173478,0.2800773,-0.98990715,2.5042422,0.026725354
48,1778597710653,-3.995233,-3.0568247,0.2128173,0.11682798,1.0987939,0.72586066
49,1778597710663,-3.995233,-3.0568247,0.2128173,0.5016731,0.63438356,1.0800097
50,1778597710673,-3.0698133,-2.6964986,-0.13366634,0.35414913,0.7483099,1.231657
51,1778597710683,-2.6177747,-2.5946026,-0.21470766,0.07742717,0.9810496,1.3219124
52,1778597710693,-1.9566995,-2.5138662,-0.17452239,-0.64934975,1.4724907,1.5722144
53,1778597710703,-1.5164909,-2.4162996,-0.09085896,-1.0370965,1.6621643,1.8600847
54,1778597710713,-1.0049977,-2.2817185,0.0071345624,-1.3093897,1.7085901,2.263103
55,1778597710723,-0.46472222,-2.1264045,0.14122775,-1.2852604,1.6583464,2.8115072
56,1778597710733,-0.036160648,-2.0388386,0.18049833,-1.1992812,1.6120734,3.2527046
57,1778597710743,0.5130178,-1.9763957,0.20428021,-1.120785,1.6920967,4.1728206
58,1778597710753,1.0297552,-1.8396196,0.2189762,-1.3069462,2.289523,5.27024
59,1778597710763,2.265681,-1.3694092,0.40148684,-2.4680483,4.5407143,7.0936728
60,1778597710773,2.265681,-1.3694092,0.40148684,-2.4680483,4.5407143,7.0936728
61,1778597710783,2.7237566,-1.0445732,0.5107615,-3.0987666,5.439144,7.3429055
62,1778597710793,2.9722464,-0.7800455,0.46270993,-4.261396,6.2745023,6.901403
63,1778597710803,2.7613196,-0.76449585,0.39221802,-5.6262217,6.539465,6.1920357
64,1778597710813,2.5114882,-0.8449273,0.41843903,-7.642382,6.438825,5.45915
65,1778597710823,2.1651874,-1.0378045,0.50704175,-7.642382,6.438825,5.45915
66,1778597710833,1.8782194,-1.346359,0.7262619,-8.900307,6.0559654,5.298645
67,1778597710843,1.6988186,-1.6900376,1.0385972,-9.689697,5.4944277,5.2861223
68,1778597710853,1.3596525,-2.1184163,1.5360652,-9.782244,4.139681,5.7218223
69,1778597710863,1.4204488,-2.2799501,1.6414982,-9.385792,3.0912836,6.124535
70,1778597710873,1.5744821,-2.5003288,1.6243021,-8.81952,2.202322,6.381709
71,1778597710883,1.7865677,-2.7247322,1.6072888,-8.432078,1.3677273,6.5871124
72,1778597710893,1.8804147,-2.847971,1.7539439,-7.809912,0.11362094,6.776023
73,1778597710903,1.9024282,-2.7828453,1.9556019,-6.9418726,-1.1779009,7.068169
74,1778597710913,2.1172576,-2.7466238,2.0421314,-5.607896,-2.5515842,7.6266527
75,1778597710923,2.411848,-2.734184,2.0185935,-4.677853,-3.0260737,7.9879794
76,1778597710933,2.582102,-2.6076522,1.9300517,-4.0033054,-2.723848,8.061894
77,1778597710943,2.4813035,-2.359406,1.5732015,-4.117232,-1.8936822,7.8131194
78,1778597710953,2.1496377,-2.3270261,1.077258,-6.416834,0.21456642,7.208821
79,1778597710963,2.1496377,-2.3270261,1.077258,-6.416834,0.21456642,7.208821
80,1778597710973,2.1496377,-2.3270261,1.077258,-7.9959207,1.0842859,6.9200344
81,1778597710983,2.3319044,-3.0954244,1.0948809,-7.9959207,1.0842859,6.9200344
82,1778597710993,2.3319044,-3.0954244,1.0948809,-7.9959207,1.0842859,6.9200344
83,1778597711003,3.3908076,-3.2831795,2.7768693,-11.365759,-3.20353,5.0153565
84,1778597711013,3.3908076,-3.2831795,2.7768693,-10.007958,-5.0046663,4.571257
85,1778597711023,3.775464,-2.485084,4.368304,-8.500801,-4.981606,4.659069
86,1778597711033,3.615516,-2.2005553,4.3558636,-8.111833,-4.489554,4.7401614
87,1778597711043,3.8176007,-1.4835621,4.2872014,-7.8690133,-1.8979583,4.66136
88,1778597711053,3.9162042,-1.252634,3.937425,-8.451473,0.59956425,4.007581
89,1778597711063,4.0118804,-0.98036206,3.5592933,-9.320276,1.9953914,3.2708778
90,1778597711073,4.1715846,-0.48106465,3.9226677,-10.187705,2.3667974,2.4039075
91,1778597711083,4.483188,0.2080609,4.980169,-9.738414,0.7506007,1.2266175
92,1778597711093,4.483188,0.2080609,4.980169,-8.575021,-0.9279043,0.35033122
93,1778597711103,4.230064,0.8116327,6.5652003,-6.8946834,-1.7392861,0.016798794
94,1778597711113,3.6285655,1.2283643,6.959979,-5.819713,-1.3510813,0.43172902
95,1778597711123,3.933949,1.9978606,7.5612335,-3.5773797,-0.8562804,1.7589865
96,1778597711133,4.8862605,2.3077567,7.983637,-1.779145,-1.183246,2.3907738
97,1778597711143,6.5703225,2.4873402,8.174685,0.8501717,-2.01387,2.333658
98,1778597711153,7.5437326,2.0280452,7.3065844,3.4694092,-2.0825922,0.111635625
99,1778597711163,6.7355146,1.2334865,6.1051126,2.1035144,2.1038198,-3.0337095
100,1778597711173,4.984681,0.1349469,5.0796256,0.77457714,5.179068,-3.5245397
101,1778597711183,4.1760364,-0.304347,4.9015055,0.15134187,7.99363,-3.504534
102,1778597711193,3.5750866,-0.64772075,4.9041276,1.3634512,8.503397,-3.2311716
103,1778597711203,3.0964,-0.95060426,4.8421116,1.3634512,8.503397,-3.2311716
104,1778597711213,2.7265005,-1.22934,4.65765,4.3408084,6.4417267,-2.7267497
105,1778597711223,2.7265005,-1.22934,4.65765,6.053369,4.8701234,-2.3693936
