id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778625342.807598,-0.59000000,2.49000000,-0.29000000,-200.87000000,-209.78000000,77.33000000
2,1778625342.860167,0.27000000,0.82000000,-0.19000000,-97.05000000,119.26000000,-34.67000000
3,1778625342.9098,-0.22000000,0.14000000,-0.32000000,26.25000000,70.74000000,-60.36000000
4,1778625342.963271,-0.22000000,0.14000000,-0.32000000,26.25000000,70.74000000,-60.36000000
5,1778625343.0125031,0.30000000,1.04000000,0.83000000,24.29000000,-133.67000000,-0.79000000
6,1778625343.063157,0.55000000,0.14000000,-0.59000000,-53.71000000,-306.58000000,86.12000000
7,1778625343.108095,0.03000000,2.50000000,-0.42000000,36.13000000,-174.19000000,-25.70000000
8,1778625343.167638,-0.18000000,1.01000000,-0.84000000,61.04000000,-245.79000000,11.17000000
9,1778625343.207672,-0.38000000,0.99000000,-0.59000000,82.15000000,-124.02000000,-17.40000000
10,1778625343.2609448,0.57000000,1.38000000,0.11000000,77.15000000,68.05000000,-44.68000000
11,1778625343.31274,0.39000000,1.40000000,0.46000000,115.11000000,16.17000000,1.83000000
12,1778625343.357653,0.15000000,0.94000000,0.76000000,82.89000000,-109.62000000,37.90000000
13,1778625343.41098,0.21000000,0.44000000,1.05000000,-14.71000000,-67.08000000,27.71000000
14,1778625343.465775,0.27000000,0.48000000,0.70000000,-85.21000000,-81.36000000,54.08000000
15,1778625343.512564,-0.07000000,1.54000000,0.15000000,-180.60000000,31.25000000,29.17000000
16,1778625343.562612,-0.38000000,2.69000000,-0.58000000,-263.18000000,-113.89000000,23.13000000
17,1778625343.608149,0.58000000,2.27000000,-0.03000000,-230.59000000,-27.83000000,60.49000000
18,1778625343.658637,0.53000000,1.84000000,0.20000000,-215.88000000,39.61000000,36.13000000
19,1778625343.711222,-0.39000000,0.30000000,-0.32000000,-45.96000000,62.87000000,-59.51000000
20,1778625343.758684,-0.30000000,-0.06000000,-0.27000000,35.22000000,4.58000000,-69.82000000
21,1778625343.8122602,0.17000000,0.30000000,-0.18000000,197.88000000,-199.22000000,-66.83000000
22,1778625343.8590631,0.17000000,0.30000000,-0.18000000,197.88000000,-199.22000000,-66.83000000
23,1778625343.912728,0.08000000,1.40000000,-1.22000000,-49.44000000,-307.43000000,126.34000000
24,1778625343.961708,0.08000000,1.40000000,-1.22000000,30.88000000,-158.26000000,-103.70000000
25,1778625344.0076659,0.08000000,1.40000000,-1.22000000,30.88000000,-158.26000000,-103.70000000
26,1778625344.0610821,0.55000000,2.10000000,0.10000000,43.03000000,97.11000000,-39.67000000
27,1778625344.1132338,0.43000000,1.57000000,-0.29000000,98.45000000,-93.69000000,-27.10000000
28,1778625344.1656399,1.41000000,1.28000000,0.28000000,88.81000000,-163.57000000,6.29000000
29,1778625344.207754,0.25000000,0.71000000,0.78000000,102.23000000,-96.37000000,33.33000000
30,1778625344.26312,0.07000000,0.68000000,1.10000000,-78.06000000,-81.05000000,15.38000000
31,1778625344.3131251,-0.78000000,0.50000000,0.44000000,-186.58000000,-83.86000000,3.66000000
32,1778625344.361669,-0.04000000,0.93000000,-0.08000000,-213.56000000,-40.53000000,-14.40000000
33,1778625344.416418,-0.35000000,2.73000000,-0.14000000,-263.61000000,-124.82000000,13.92000000
34,1778625344.4577138,0.25000000,2.40000000,0.04000000,-148.62000000,-35.83000000,44.31000000
35,1778625344.5141828,0.25000000,2.40000000,0.04000000,-148.62000000,-35.83000000,44.31000000
36,1778625344.564239,-0.13000000,0.17000000,-0.31000000,-90.45000000,93.87000000,-17.76000000
37,1778625344.611671,-0.40000000,-0.38000000,-0.37000000,126.89000000,-16.54000000,-16.30000000
38,1778625344.663233,0.06000000,0.31000000,-0.05000000,222.84000000,-142.33000000,-21.42000000
39,1778625344.7127528,-0.32000000,0.43000000,-0.08000000,-138.73000000,-71.29000000,20.39000000
40,1778625344.765642,-0.27000000,0.43000000,-1.28000000,101.01000000,-432.74000000,-8.12000000
41,1778625344.813303,-0.07000000,1.96000000,-0.72000000,-12.88000000,-186.52000000,-118.35000000
42,1778625344.862742,1.38000000,1.15000000,-0.52000000,110.90000000,-44.37000000,-6.53000000
