id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778612240.105427,0.41,-0.86,-0.38,27.83,5.0,5.0
2,1778612240.105442,0.41,-0.86,-0.38,27.83,5.0,5.0
3,1778612240.1133912,0.41,-0.86,-0.38,27.83,5.0,5.0
4,1778612240.123323,0.41,-0.86,-0.38,27.83,5.0,5.0
5,1778612240.1333709,0.56,-0.82,-0.35,21.36,-53.71,-4.21
6,1778612240.143338,0.56,-0.82,-0.35,21.36,-53.71,-4.21
7,1778612240.153373,0.56,-0.82,-0.35,21.36,-53.71,-4.21
8,1778612240.1633658,0.56,-0.82,-0.35,21.36,-53.71,-4.21
9,1778612240.173337,0.64,-0.83,-0.22,-2.75,-35.16,-5.98
10,1778612240.183274,0.64,-0.83,-0.22,-2.75,-35.16,-5.98
11,1778612240.193346,0.64,-0.83,-0.22,-2.75,-35.16,-5.98
12,1778612240.20328,0.64,-0.83,-0.22,-2.75,-35.16,-5.98
13,1778612240.213345,0.65,-0.87,-0.17,-12.7,7.45,-14.47
14,1778612240.223383,0.65,-0.87,-0.17,-12.7,7.45,-14.47
15,1778612240.233325,0.65,-0.87,-0.17,-12.7,7.45,-14.47
16,1778612240.243383,0.57,-0.9,-0.21,-1.28,34.61,-29.17
17,1778612240.2533069,0.57,-0.9,-0.21,-1.28,34.61,-29.17
18,1778612240.263382,0.57,-0.9,-0.21,-1.28,34.61,-29.17
19,1778612240.2733161,0.48,-0.83,-0.27,-1.28,34.61,-29.17
20,1778612240.283381,0.48,-0.83,-0.27,1.04,34.67,-37.41
21,1778612240.293301,0.48,-0.83,-0.27,1.04,34.67,-37.41
22,1778612240.30337,0.48,-0.83,-0.27,1.04,34.67,-37.41
23,1778612240.3133051,0.41,-0.82,-0.35,1.04,34.67,-37.41
24,1778612240.3233721,0.41,-0.82,-0.35,4.09,2.81,-49.26
25,1778612240.333301,0.41,-0.82,-0.35,4.09,2.81,-49.26
26,1778612240.343332,0.41,-0.82,-0.35,4.09,2.81,-49.26
27,1778612240.3533812,0.43,-0.86,-0.39,17.52,-53.1,-53.77
28,1778612240.363391,0.43,-0.86,-0.39,17.52,-53.1,-53.77
29,1778612240.3733,0.43,-0.86,-0.39,17.52,-53.1,-53.77
30,1778612240.383359,0.43,-0.86,-0.39,17.52,-53.1,-53.77
31,1778612240.393288,0.55,-0.92,-0.45,36.07,-86.79,-42.72
32,1778612240.403358,0.55,-0.92,-0.45,36.07,-86.79,-42.72
33,1778612240.413396,0.55,-0.92,-0.45,36.07,-86.79,-42.72
34,1778612240.4232981,0.55,-0.92,-0.45,36.07,-86.79,-42.72
35,1778612240.433341,0.29,-0.99,-0.35,66.53,7.45,-72.14
36,1778612240.443362,0.29,-0.99,-0.35,66.53,7.45,-72.14
37,1778612240.453283,0.29,-0.99,-0.35,66.53,7.45,-72.14
38,1778612240.4633322,0.29,-0.99,-0.35,66.53,7.45,-72.14
39,1778612240.4733791,0.29,-0.99,-0.35,66.53,7.45,-72.14
40,1778612240.4833212,0.29,-0.99,-0.35,66.53,7.45,-72.14
41,1778612240.4933429,0.29,-0.99,-0.35,66.53,7.45,-72.14
42,1778612240.503375,0.29,-0.99,-0.35,66.53,7.45,-72.14
43,1778612240.51328,0.29,-0.99,-0.35,66.53,7.45,-72.14
44,1778612240.52333,0.29,-0.99,-0.35,66.53,7.45,-72.14
45,1778612240.533365,-0.21,-0.78,-1.44,-362.92,455.44,118.29
46,1778612240.543287,-0.21,-0.78,-1.44,-362.92,455.44,118.29
47,1778612240.553317,-0.41,-1.32,-1.38,-407.9,369.75,53.89
48,1778612240.5633469,-0.41,-1.32,-1.38,-407.9,369.75,53.89
49,1778612240.573278,-0.41,-1.32,-1.38,-407.9,369.75,53.89
50,1778612240.583346,-0.41,-1.32,-1.38,-407.9,369.75,53.89
51,1778612240.5933912,0.37,-0.85,-1.27,-368.96,215.76,77.33
52,1778612240.603308,0.37,-0.85,-1.27,-368.96,215.76,77.33
53,1778612240.613346,0.37,-0.85,-1.27,-368.96,215.76,77.33
54,1778612240.6233869,0.37,-0.85,-1.27,-368.96,215.76,77.33
55,1778612240.633305,1.93,-1.35,-2.2,-416.93,168.88,54.5
56,1778612240.643337,1.93,-1.35,-2.2,-416.93,168.88,54.5
57,1778612240.653273,1.93,-1.35,-2.2,-416.93,168.88,54.5
58,1778612240.66332,3.35,-1.76,-2.1,-486.02,312.99,76.23
59,1778612240.673353,3.35,-1.76,-2.1,-486.02,312.99,76.23
60,1778612240.683394,3.35,-1.76,-2.1,-486.02,312.99,76.23
61,1778612240.693315,3.35,-1.76,-2.1,-486.02,312.99,76.23
62,1778612240.703377,3.71,-2.7,-0.57,-565.49,702.58,-22.03
63,1778612240.713286,3.71,-2.7,-0.57,-565.49,702.58,-22.03
64,1778612240.7233222,3.71,-2.7,-0.57,-565.49,702.58,-22.03
65,1778612240.733369,3.71,-2.7,-0.57,-565.49,702.58,-22.03
66,1778612240.743288,1.56,-3.54,0.54,-332.09,720.95,-148.99
67,1778612240.753354,1.56,-3.54,0.54,-332.09,720.95,-148.99
68,1778612240.763387,1.56,-3.54,0.54,-332.09,720.95,-148.99
69,1778612240.7733178,1.56,-3.54,0.54,-332.09,720.95,-148.99
70,1778612240.78336,2.08,-2.58,2.04,263.92,51.09,-239.62
71,1778612240.79338,2.08,-2.58,2.04,263.92,51.09,-239.62
72,1778612240.803306,2.08,-2.58,2.04,263.92,51.09,-239.62
73,1778612240.81338,2.08,-2.58,2.04,263.92,51.09,-239.62
74,1778612240.823309,2.75,-2.04,0.73,288.33,338.87,-149.11
75,1778612240.833378,2.75,-2.04,0.73,288.33,338.87,-149.11
76,1778612240.843344,2.75,-2.04,0.73,288.33,338.87,-149.11
77,1778612240.853276,2.75,-2.04,0.73,288.33,338.87,-149.11
78,1778612240.863324,2.5,-2.45,0.08,360.05,275.82,-194.52
79,1778612240.873281,2.5,-2.45,0.08,360.05,275.82,-194.52
80,1778612240.883316,2.5,-2.45,0.08,360.05,275.82,-194.52
81,1778612240.89327,2.19,-3.07,-0.55,432.13,141.6,-288.15
82,1778612240.903287,2.19,-3.07,-0.55,432.13,141.6,-288.15
83,1778612240.9133818,2.19,-3.07,-0.55,432.13,141.6,-288.15
84,1778612240.9233768,1.36,-2.87,-0.97,432.13,141.6,-288.15
85,1778612240.933273,1.36,-2.87,-0.97,398.93,71.66,-341.92
86,1778612240.943396,1.36,-2.87,-0.97,398.93,71.66,-341.92
87,1778612240.953284,1.36,-2.87,-0.97,398.93,71.66,-341.92
88,1778612240.963321,1.36,-2.87,-0.97,398.93,71.66,-341.92
89,1778612240.973363,1.36,-2.87,-0.97,398.93,71.66,-341.92
90,1778612240.9833941,1.36,-2.87,-0.97,398.93,71.66,-341.92
91,1778612240.993286,1.36,-2.87,-0.97,398.93,71.66,-341.92
92,1778612241.0033312,1.36,-2.87,-0.97,398.93,71.66,-341.92
93,1778612241.0133471,1.36,-2.87,-0.97,398.93,71.66,-341.92
94,1778612241.023381,1.36,-2.87,-0.97,398.93,71.66,-341.92
95,1778612241.033393,1.36,-2.87,-0.97,398.93,71.66,-341.92
96,1778612241.043296,1.36,-2.87,-0.97,398.93,71.66,-341.92
97,1778612241.053334,1.82,-2.21,-1.09,262.15,38.21,-293.95
98,1778612241.063358,0.95,-2.26,-0.99,198.24,186.46,-311.83
99,1778612241.0733,0.95,-2.26,-0.99,198.24,186.46,-311.83
100,1778612241.083331,-2.22,-1.94,-2.27,396.42,-294.07,-475.89
101,1778612241.093351,-2.22,-1.94,-2.27,396.42,-294.07,-475.89
102,1778612241.1032698,-2.22,-1.94,-2.27,396.42,-294.07,-475.89
103,1778612241.113306,-2.22,-1.94,-2.27,396.42,-294.07,-475.89
104,1778612241.123323,-3.24,-1.54,-1.83,193.24,-414.18,-253.6
105,1778612241.133355,-3.24,-1.54,-1.83,193.24,-414.18,-253.6
106,1778612241.143384,-3.24,-1.54,-1.83,193.24,-414.18,-253.6
107,1778612241.153269,-3.24,-1.54,-1.83,193.24,-414.18,-253.6
108,1778612241.163323,-4.44,-1.24,-1.5,144.41,-323.12,-31.25
109,1778612241.173388,-4.44,-1.24,-1.5,144.41,-323.12,-31.25
110,1778612241.183279,-4.44,-1.24,-1.5,144.41,-323.12,-31.25
111,1778612241.193311,-4.44,-1.24,-1.5,144.41,-323.12,-31.25
112,1778612241.203342,-2.92,0.42,-0.08,-244.57,167.91,147.89
113,1778612241.213365,-2.92,0.42,-0.08,-244.57,167.91,147.89
114,1778612241.223391,-2.92,0.42,-0.08,-244.57,167.91,147.89
115,1778612241.233288,-2.92,0.42,-0.08,-244.57,167.91,147.89
116,1778612241.243309,-5.65,-1.86,-0.47,-461.36,706.24,54.87
