id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778616075.7200232,0.99,0.17,-0.06,56.09,0.73,-17.7
2,1778616075.720045,0.99,0.17,-0.06,56.09,0.73,-17.7
3,1778616075.727531,0.99,0.17,-0.06,56.09,0.73,-17.7
4,1778616075.7375848,1.0,0.15,-0.07,48.89,2.93,-15.63
5,1778616075.747531,1.0,0.15,-0.07,48.89,2.93,-15.63
6,1778616075.7575638,1.0,0.15,-0.07,48.89,2.93,-15.63
7,1778616075.76755,1.0,0.13,-0.08,48.89,2.93,-15.63
8,1778616075.777546,1.0,0.13,-0.08,30.94,-3.48,-11.6
9,1778616075.787511,1.0,0.13,-0.08,30.94,-3.48,-11.6
10,1778616075.797569,1.0,0.13,-0.08,30.94,-3.48,-11.6
11,1778616075.80754,1.0,0.12,-0.07,7.32,-5.31,-5.98
12,1778616075.817535,1.0,0.12,-0.07,7.32,-5.31,-5.98
13,1778616075.827551,1.0,0.12,-0.07,7.32,-5.31,-5.98
14,1778616075.837491,1.0,0.12,-0.07,7.32,-5.31,-5.98
15,1778616075.847542,0.99,0.12,-0.08,-16.6,-6.65,-0.06
16,1778616075.857593,0.99,0.12,-0.08,-16.6,-6.65,-0.06
17,1778616075.867521,0.99,0.12,-0.08,-16.6,-6.65,-0.06
18,1778616075.8775702,0.99,0.12,-0.08,-16.6,-6.65,-0.06
19,1778616075.887595,0.99,0.16,-0.08,-16.6,-6.65,-0.06
20,1778616075.8975239,0.99,0.16,-0.08,-16.6,-6.65,-0.06
21,1778616075.907572,0.99,0.16,-0.08,-16.6,-6.65,-0.06
22,1778616075.9175,0.99,0.16,-0.08,-16.6,-6.65,-0.06
23,1778616075.927544,0.99,0.16,-0.08,-16.6,-6.65,-0.06
24,1778616075.9375958,0.99,0.16,-0.08,-16.6,-6.65,-0.06
25,1778616075.9475431,0.99,0.16,-0.08,-16.6,-6.65,-0.06
26,1778616075.957601,0.99,0.16,-0.08,-16.6,-6.65,-0.06
27,1778616075.96752,0.99,0.16,-0.08,-16.6,-6.65,-0.06
28,1778616075.977588,0.99,0.22,-0.06,7.63,8.85,-2.14
29,1778616075.9875278,0.99,0.22,-0.06,7.63,8.85,-2.14
30,1778616075.997476,0.99,0.22,-0.06,7.63,8.85,-2.14
31,1778616076.0075269,0.97,0.23,-0.06,0.31,11.17,-4.09
32,1778616076.0175989,0.97,0.23,-0.06,0.31,11.17,-4.09
33,1778616076.027533,0.97,0.23,-0.06,0.31,11.17,-4.09
34,1778616076.0375838,0.96,0.19,-0.09,-13.85,7.75,-5.49
35,1778616076.04751,0.96,0.19,-0.09,-13.85,7.75,-5.49
36,1778616076.057557,0.96,0.19,-0.09,-13.85,7.75,-5.49
37,1778616076.067498,0.96,0.19,-0.09,-13.85,7.75,-5.49
38,1778616076.0775502,0.96,0.19,-0.09,-13.85,7.75,-5.49
39,1778616076.087606,0.96,0.19,-0.1,-13.85,7.75,-5.49
40,1778616076.0975108,0.96,0.19,-0.1,-13.85,7.75,-5.49
41,1778616076.1075609,0.96,0.19,-0.1,-13.85,7.75,-5.49
42,1778616076.117549,0.96,0.19,-0.1,-13.85,7.75,-5.49
43,1778616076.127539,0.96,0.19,-0.1,-13.85,7.75,-5.49
44,1778616076.137572,0.96,0.19,-0.1,-13.85,7.75,-5.49
45,1778616076.147598,0.96,0.19,-0.1,-13.85,7.75,-5.49
46,1778616076.157504,0.96,0.19,-0.1,-13.85,7.75,-5.49
47,1778616076.1675122,0.96,0.19,-0.1,-13.85,7.75,-5.49
48,1778616076.1775339,0.96,0.17,-0.1,-4.82,7.2,-7.57
49,1778616076.187565,1.01,0.13,-0.1,-4.64,5.37,-8.61
50,1778616076.197576,1.01,0.13,-0.1,-4.64,5.37,-8.61
51,1778616076.2075899,1.01,0.13,-0.1,-4.64,5.37,-8.61
52,1778616076.2175832,1.01,0.13,-0.1,-4.64,5.37,-8.61
53,1778616076.227509,0.94,0.11,-0.1,-21.48,-1.16,-1.95
54,1778616076.237582,0.94,0.11,-0.1,-21.48,-1.16,-1.95
55,1778616076.2475579,0.94,0.11,-0.1,-21.48,-1.16,-1.95
56,1778616076.257513,0.94,0.11,-0.1,-21.48,-1.16,-1.95
57,1778616076.2675269,1.01,0.16,-0.1,-29.11,-13.98,12.94
58,1778616076.277536,1.01,0.16,-0.1,-29.11,-13.98,12.94
59,1778616076.287576,1.01,0.16,-0.1,-29.11,-13.98,12.94
60,1778616076.297587,1.01,0.16,-0.1,-29.11,-13.98,12.94
61,1778616076.307513,0.99,0.25,-0.09,-11.96,-11.41,17.33
62,1778616076.317562,0.99,0.25,-0.09,-11.96,-11.41,17.33
63,1778616076.327571,0.99,0.25,-0.09,-11.96,-11.41,17.33
64,1778616076.3376021,0.91,0.26,-0.09,4.58,-7.93,7.63
65,1778616076.347501,0.91,0.26,-0.09,4.58,-7.93,7.63
66,1778616076.35753,0.91,0.26,-0.09,4.58,-7.93,7.63
67,1778616076.3675919,0.91,0.26,-0.09,4.58,-7.93,7.63
68,1778616076.377604,0.96,0.28,-0.09,16.42,-4.33,-5.19
69,1778616076.387504,0.96,0.28,-0.09,16.42,-4.33,-5.19
70,1778616076.397515,0.96,0.28,-0.09,16.42,-4.33,-5.19
71,1778616076.40757,0.96,0.28,-0.09,16.42,-4.33,-5.19
72,1778616076.4175942,0.96,0.28,-0.09,16.42,-4.33,-5.19
73,1778616076.427495,0.96,0.28,-0.09,16.42,-4.33,-5.19
74,1778616076.4375172,0.96,0.28,-0.09,16.42,-4.33,-5.19
75,1778616076.4475389,0.96,0.28,-0.09,16.42,-4.33,-5.19
76,1778616076.4575932,0.96,0.28,-0.09,16.42,-4.33,-5.19
