id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778615132.797697,0.7,0.65,-0.32,0.06,-5.86,0.92
2,1778615132.797709,0.7,0.65,-0.32,0.06,-5.86,0.92
3,1778615132.806297,0.7,0.65,-0.32,0.06,-5.86,0.92
4,1778615132.816267,0.7,0.65,-0.32,0.06,-5.86,0.92
5,1778615132.826299,0.71,0.67,-0.32,0.06,-5.86,0.92
6,1778615132.836309,0.71,0.67,-0.32,0.06,-5.86,0.92
7,1778615132.846282,0.71,0.67,-0.32,0.06,-5.86,0.92
8,1778615132.856222,0.71,0.67,-0.32,0.06,-5.86,0.92
9,1778615132.866286,0.71,0.67,-0.32,0.06,-5.86,0.92
10,1778615132.876239,0.71,0.67,-0.32,0.06,-5.86,0.92
11,1778615132.886293,0.71,0.67,-0.32,0.06,-5.86,0.92
12,1778615132.896225,0.71,0.67,-0.32,0.06,-5.86,0.92
13,1778615132.9062772,0.71,0.67,-0.32,0.06,-5.86,0.92
14,1778615132.916254,0.7,0.65,-0.32,2.56,-2.99,-8.48
15,1778615132.926312,0.7,0.65,-0.32,2.56,-2.99,-8.48
16,1778615132.936218,0.7,0.65,-0.32,2.56,-2.99,-8.48
17,1778615132.946252,0.7,0.65,-0.32,2.56,-2.99,-8.48
18,1778615132.95628,0.7,0.66,-0.33,3.48,-0.98,-8.54
19,1778615132.966311,0.7,0.66,-0.33,3.48,-0.98,-8.54
20,1778615132.9762108,0.69,0.65,-0.33,3.48,-0.98,-8.54
21,1778615132.986243,0.69,0.65,-0.33,3.3,-0.67,-9.77
22,1778615132.9962828,0.69,0.65,-0.33,3.3,-0.67,-9.77
23,1778615133.006329,0.69,0.65,-0.33,3.3,-0.67,-9.77
24,1778615133.016224,0.69,0.66,-0.33,6.47,-0.79,-13.61
25,1778615133.0262332,0.69,0.66,-0.33,6.47,-0.79,-13.61
26,1778615133.036258,0.69,0.66,-0.33,6.47,-0.79,-13.61
27,1778615133.0462852,0.69,0.66,-0.33,6.47,-0.79,-13.61
28,1778615133.056324,0.69,0.67,-0.34,8.06,3.91,-15.01
29,1778615133.066249,0.69,0.67,-0.34,8.06,3.91,-15.01
30,1778615133.0763252,0.69,0.67,-0.34,8.06,3.91,-15.01
31,1778615133.086228,0.69,0.67,-0.34,8.06,3.91,-15.01
32,1778615133.096273,0.69,0.68,-0.34,5.37,8.24,-12.94
33,1778615133.106313,0.69,0.68,-0.34,5.37,8.24,-12.94
34,1778615133.116211,0.69,0.68,-0.34,5.37,8.24,-12.94
35,1778615133.12622,0.69,0.68,-0.34,5.37,8.24,-12.94
36,1778615133.13625,0.69,0.68,-0.34,5.37,8.24,-12.94
37,1778615133.146271,0.69,0.68,-0.34,5.37,8.24,-12.94
38,1778615133.156311,0.68,0.68,-0.33,3.97,10.86,-10.25
39,1778615133.166225,0.68,0.68,-0.33,3.97,10.86,-10.25
40,1778615133.176268,0.67,0.68,-0.33,2.56,8.79,-7.63
41,1778615133.186288,0.67,0.68,-0.33,2.56,8.79,-7.63
42,1778615133.1963131,0.67,0.68,-0.33,2.56,8.79,-7.63
43,1778615133.206225,0.67,0.68,-0.33,2.56,8.79,-7.63
