id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778611844.974206,-0.36,-0.52,1.0,-185.49,-120.06,-98.45
2,1778611845.011681,-0.35,-0.46,1.51,-156.98,-109.07,-77.15
3,1778611845.061766,-0.36,-0.61,1.47,-119.38,-62.38,-74.28
4,1778611845.111765,-0.44,-0.65,1.44,-49.62,-26.73,-33.87
5,1778611845.161761,-0.44,-0.65,1.44,-49.62,-26.73,-33.87
6,1778611845.211763,-0.16,-0.44,0.98,-20.81,-7.26,-20.32
7,1778611845.261756,-0.15,-0.5,1.02,-13.31,-42.79,-30.27
8,1778611845.3116958,-0.14,-0.49,1.22,-17.52,-6.1,-26.18
9,1778611845.361769,-0.19,-0.51,0.98,-0.79,4.39,-13.12
10,1778611845.4117131,-0.1,-0.52,1.08,17.15,18.19,1.46
11,1778611845.461726,-0.06,-0.39,1.05,11.17,12.15,1.71
12,1778611845.51178,-0.17,-0.52,1.29,51.82,33.39,18.92
13,1778611845.561763,-0.2,-0.49,1.18,70.13,24.29,28.26
14,1778611845.611766,-0.31,-0.61,1.87,121.09,35.28,32.59
15,1778611845.6617332,-0.33,-0.57,1.65,140.32,131.53,63.48
16,1778611845.711734,-0.33,-0.57,1.65,140.32,131.53,63.48
17,1778611845.7617779,-0.17,-0.02,1.15,174.5,124.33,76.6
18,1778611845.811799,-0.18,0.03,0.81,158.33,113.71,76.11
19,1778611845.8617668,-0.2,0.15,1.0,180.73,63.48,83.92
20,1778611845.911732,-0.24,0.16,0.86,186.34,72.39,63.23
21,1778611845.9616902,-0.23,0.45,0.45,173.22,37.48,63.6
22,1778611846.011772,-0.22,0.49,0.51,166.93,34.79,59.02
23,1778611846.061713,-0.19,0.56,0.36,159.85,48.34,42.18
24,1778611846.111708,-0.13,0.74,0.06,121.83,56.27,13.55
25,1778611846.16173,-0.2,0.76,-0.05,108.89,59.02,8.06
26,1778611846.2117388,-0.2,0.76,-0.05,105.1,54.93,-2.01
27,1778611846.261773,-0.2,0.76,-0.05,105.1,54.93,-2.01
28,1778611846.311778,-0.26,0.73,-0.38,128.78,54.99,18.07
29,1778611846.3617642,-0.14,0.76,-0.47,108.28,74.65,20.08
30,1778611846.411753,0.04,0.48,-1.28,54.14,28.26,22.16
31,1778611846.461783,0.06,0.64,-0.98,20.87,0.67,23.25
32,1778611846.511731,-0.1,0.71,-0.69,-42.24,21.3,-18.92
33,1778611846.561785,0.02,0.77,-0.64,-68.54,-20.94,-29.11
34,1778611846.611806,0.1,0.7,-0.99,-101.93,-26.0,-53.53
35,1778611846.6616802,0.02,0.52,-0.9,-152.83,-70.43,-61.89
36,1778611846.711742,-0.18,0.38,-0.47,-156.49,-116.27,-31.49
37,1778611846.7617521,-0.18,0.38,-0.47,-156.49,-116.27,-31.49
38,1778611846.811708,-0.15,0.56,0.64,-149.05,-113.83,-37.29
39,1778611846.861713,-0.12,0.46,0.48,-178.83,-83.98,-61.83
40,1778611846.911753,-0.18,0.43,1.01,-215.7,-84.11,-76.23
41,1778611846.9617379,-0.28,0.33,1.03,-182.19,-46.57,-71.17
42,1778611847.0117881,-0.3,-0.02,1.5,-212.34,-7.39,-128.36
43,1778611847.0618,-0.4,0.06,1.13,-212.34,-7.39,-128.36
44,1778611847.111789,-0.4,-0.06,0.79,-124.45,-43.03,-110.47
45,1778611847.161748,-0.44,-0.32,0.91,-156.98,-53.96,-91.92
46,1778611847.211735,-0.19,-0.2,1.28,-100.34,-98.27,-51.64
47,1778611847.261791,-0.19,-0.2,1.28,-100.34,-98.27,-51.64
48,1778611847.3118012,-0.24,-0.29,1.3,-47.18,-51.57,-42.72
49,1778611847.361742,-0.25,-0.33,1.11,-24.66,-5.98,-34.42
50,1778611847.411785,-0.26,-0.36,1.13,-14.77,-26.79,-29.79
51,1778611847.4616902,-0.26,-0.31,1.04,5.25,29.85,-14.65
52,1778611847.511723,-0.24,-0.24,1.05,18.07,5.55,-21.0
53,1778611847.5616949,-0.26,-0.32,1.11,27.95,17.15,-6.71
54,1778611847.61175,-0.22,-0.28,1.2,16.6,15.93,-0.37
55,1778611847.661738,-0.33,-0.33,1.17,32.59,36.5,15.75
56,1778611847.7117078,-0.42,-0.35,1.4,48.89,48.22,18.55
57,1778611847.761765,-0.45,-0.29,1.5,84.66,55.79,43.76
58,1778611847.811765,-0.45,-0.29,1.5,84.66,55.79,43.76
59,1778611847.861683,-0.45,-0.02,1.37,175.48,125.06,112.98
60,1778611847.9117959,-0.45,-0.13,1.4,144.17,155.82,88.75
61,1778611847.961698,-0.33,0.06,0.94,186.77,128.97,130.62
62,1778611848.011713,-0.35,0.16,0.71,176.82,202.64,119.38
63,1778611848.061721,-0.29,0.13,0.14,166.5,136.29,141.48
64,1778611848.111779,-0.19,0.41,0.29,150.82,106.57,137.45
65,1778611848.161694,-0.1,0.57,-0.08,129.46,87.4,103.15
66,1778611848.2116978,-0.04,0.68,-0.25,104.13,89.6,87.04
67,1778611848.2616801,-0.04,0.76,-0.27,100.16,62.32,82.21
68,1778611848.311777,-0.03,0.81,-0.19,100.16,62.32,82.21
69,1778611848.361782,-0.03,0.81,-0.19,88.99,77.39,68.48
70,1778611848.4117,0.24,0.66,-0.6,67.69,89.6,62.81
71,1778611848.4616761,0.54,0.66,-0.78,50.48,87.77,52.61
72,1778611848.511771,0.74,0.74,-1.07,19.1,63.66,22.89
73,1778611848.561762,0.37,0.72,-0.51,-29.79,0.85,-37.78
74,1778611848.611783,0.48,0.82,-0.78,-58.65,-16.85,-86.49
75,1778611848.6617558,0.41,0.69,-0.8,-70.31,-80.63,-110.9
76,1778611848.7117,0.16,0.64,-0.48,-107.48,-102.29,-119.45
77,1778611848.761756,-0.22,0.58,-0.0,-118.53,-109.25,-125.79
78,1778611848.811702,-0.22,0.58,-0.0,-118.53,-109.25,-125.79
79,1778611848.861734,-0.22,0.58,-0.0,-118.53,-109.25,-125.79
80,1778611848.911754,-0.32,0.59,0.3,-120.91,-66.53,-106.51
81,1778611848.961798,-0.48,0.3,0.32,-121.34,-93.69,-107.36
82,1778611849.011759,-0.48,0.38,0.71,-128.3,-99.3,-96.37
83,1778611849.061683,-0.5,0.28,0.35,-95.83,-89.84,-91.13
84,1778611849.111682,-0.35,0.47,0.96,-129.33,-90.88,-117.07
85,1778611849.1618,-0.78,-0.14,0.9,-118.29,-44.56,-123.54
86,1778611849.2117639,-0.46,0.3,1.04,-96.98,-99.49,-88.56
87,1778611849.261787,-0.68,-0.17,0.94,-76.66,-84.05,-75.5
88,1778611849.311712,-0.52,-0.07,1.11,-107.42,-71.47,-85.08
89,1778611849.3617878,-0.52,-0.07,1.11,-107.42,-71.47,-85.08
90,1778611849.411676,-0.4,-0.15,1.15,-69.76,-52.0,-59.33
91,1778611849.4617019,-0.43,-0.32,1.09,-46.57,-52.31,-46.94
92,1778611849.511782,-0.35,-0.24,1.16,-50.42,-48.34,-41.08
93,1778611849.56179,-0.4,-0.38,1.12,-32.71,-31.74,-31.49
94,1778611849.611756,-0.38,-0.29,1.26,-17.7,-13.55,-20.94
