id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778614691.105162,0.87,-0.33,-0.22,-96.01,335.63,-9.77
2,1778614691.105181,0.87,-0.33,-0.22,-96.01,335.63,-9.77
3,1778614691.114584,0.87,-0.33,-0.22,-96.01,335.63,-9.77
4,1778614691.1246011,0.87,-0.33,-0.22,-96.01,335.63,-9.77
5,1778614691.134677,0.87,-0.33,-0.22,-96.01,335.63,-9.77
6,1778614691.144567,0.87,-0.33,-0.22,-96.01,335.63,-9.77
7,1778614691.1546838,0.87,-0.33,-0.22,-96.01,335.63,-9.77
8,1778614691.164632,0.9,-0.23,0.07,40.1,-71.47,-142.4
9,1778614691.174592,0.9,-0.23,0.07,40.1,-71.47,-142.4
10,1778614691.1846468,0.9,-0.23,0.07,40.1,-71.47,-142.4
11,1778614691.1946099,0.9,-0.23,0.07,40.1,-71.47,-142.4
12,1778614691.2045739,1.4,-0.56,0.18,-15.01,-37.78,-46.02
13,1778614691.214628,1.4,-0.56,0.18,-15.01,-37.78,-46.02
14,1778614691.224688,1.4,-0.56,0.18,-15.01,-37.78,-46.02
15,1778614691.234605,1.4,-0.56,0.18,-15.01,-37.78,-46.02
16,1778614691.244647,0.97,-0.19,-0.05,-136.54,6.65,48.89
17,1778614691.254575,0.97,-0.19,-0.05,-136.54,6.65,48.89
18,1778614691.2646348,0.97,-0.19,-0.05,-136.54,6.65,48.89
19,1778614691.2745621,0.97,-0.19,-0.05,-136.54,6.65,48.89
20,1778614691.284631,0.72,-0.16,-0.1,-23.68,-18.92,63.29
21,1778614691.294676,0.72,-0.16,-0.1,-23.68,-18.92,63.29
22,1778614691.3046038,0.72,-0.16,-0.1,-23.68,-18.92,63.29
23,1778614691.314662,0.72,-0.16,-0.1,-23.68,-18.92,63.29
24,1778614691.324569,0.8,-0.15,-0.09,44.13,-51.7,86.73
25,1778614691.334618,0.8,-0.15,-0.09,44.13,-51.7,86.73
26,1778614691.3445609,0.8,-0.15,-0.09,44.13,-51.7,86.73
27,1778614691.354621,0.8,-0.15,-0.09,44.13,-51.7,86.73
28,1778614691.364651,1.02,-0.24,-0.01,60.91,-154.66,98.08
29,1778614691.374584,1.02,-0.24,-0.01,60.91,-154.66,98.08
30,1778614691.38464,1.02,-0.24,-0.01,60.91,-154.66,98.08
31,1778614691.394568,1.02,-0.24,-0.01,60.91,-154.66,98.08
32,1778614691.404618,1.02,-0.24,-0.01,60.91,-154.66,98.08
33,1778614691.414664,1.02,-0.24,-0.01,60.91,-154.66,98.08
34,1778614691.4246411,1.02,-0.24,-0.01,60.91,-154.66,98.08
35,1778614691.434667,1.02,-0.24,-0.01,60.91,-154.66,98.08
36,1778614691.4445791,1.02,-0.24,-0.01,60.91,-154.66,98.08
37,1778614691.454603,1.02,-0.24,-0.01,60.91,-154.66,98.08
38,1778614691.464628,1.02,-0.24,-0.01,60.91,-154.66,98.08
39,1778614691.474658,1.02,-0.38,-0.4,-20.45,24.72,-27.04
40,1778614691.484694,1.02,-0.38,-0.4,-20.45,24.72,-27.04
41,1778614691.494602,1.02,-0.38,-0.4,-20.45,24.72,-27.04
42,1778614691.5046139,1.02,-0.38,-0.4,-20.45,24.72,-27.04
43,1778614691.514626,0.91,-0.51,-0.27,28.38,-42.85,-0.92
44,1778614691.5246441,0.91,-0.51,-0.27,28.38,-42.85,-0.92
45,1778614691.534666,0.91,-0.51,-0.27,28.38,-42.85,-0.92
46,1778614691.544682,0.91,-0.51,-0.27,28.38,-42.85,-0.92
47,1778614691.55466,0.86,-0.38,-0.07,20.63,-55.54,3.6
48,1778614691.564565,0.86,-0.38,-0.07,20.63,-55.54,3.6
49,1778614691.574582,0.86,-0.38,-0.07,20.63,-55.54,3.6
50,1778614691.5846138,0.86,-0.38,-0.07,20.63,-55.54,3.6
