id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778611603.676417,0.33,0.74,0.71,22.16,-24.9,9.46
2,1778611603.7159061,0.36,0.67,0.41,17.21,13.24,5.98
3,1778611603.765907,0.41,0.67,0.29,32.9,-34.55,15.87
4,1778611603.815831,0.6,0.73,0.65,3.78,7.57,-0.49
5,1778611603.865847,0.44,0.78,0.42,0.06,31.98,-20.26
6,1778611603.9158459,0.38,0.86,0.4,24.11,23.99,-34.61
7,1778611603.9659169,0.49,1.17,0.22,7.93,17.15,-20.32
8,1778611604.015876,0.49,1.17,0.22,7.93,17.15,-20.32
9,1778611604.0658848,0.09,1.18,0.19,-20.02,6.1,-2.38
10,1778611604.115842,0.18,1.16,0.32,4.64,-20.75,-2.99
11,1778611604.165819,0.39,1.32,0.38,-34.97,39.06,47.06
12,1778611604.215872,0.43,1.38,0.17,19.17,16.6,-10.38
13,1778611604.265849,0.29,1.25,0.17,39.61,7.57,-8.24
14,1778611604.315845,0.25,1.26,0.12,44.62,16.42,-64.58
15,1778611604.3658838,0.15,1.19,0.27,61.77,28.32,-46.63
16,1778611604.4159172,0.13,1.13,-0.07,-15.93,63.11,-22.95
17,1778611604.465821,0.25,0.79,0.29,37.6,-36.8,-59.02
18,1778611604.5158138,0.25,0.79,0.29,37.6,-36.8,-59.02
19,1778611604.5658188,0.47,0.99,0.65,-90.33,33.39,10.8
20,1778611604.6158268,0.3,0.61,0.6,-28.44,-24.6,25.82
21,1778611604.665865,0.39,0.62,0.24,-139.22,41.32,33.75
22,1778611604.715888,0.43,0.54,0.43,-14.04,-76.42,32.65
23,1778611604.7659159,0.7,0.64,0.33,-41.44,-52.37,33.57
24,1778611604.815815,0.64,0.53,0.58,-8.0,-60.24,29.24
25,1778611604.865872,0.76,0.64,0.42,-29.6,-43.15,31.62
26,1778611604.915905,0.56,0.47,0.46,-27.1,-20.63,25.33
27,1778611604.965816,0.66,0.57,0.33,-27.34,-38.09,26.92
28,1778611605.015832,0.67,0.52,0.51,-17.27,-29.42,16.91
29,1778611605.065841,0.67,0.52,0.51,-17.27,-29.42,16.91
30,1778611605.115854,0.74,0.36,0.58,-42.91,7.45,-7.51
31,1778611605.165899,0.8,0.33,0.55,-23.25,-16.6,-1.89
32,1778611605.2158709,0.84,0.35,0.71,-17.88,-11.29,1.04
33,1778611605.265792,0.85,0.34,0.37,-11.9,-8.97,-4.64
34,1778611605.315824,0.88,0.4,0.58,-18.55,-11.6,8.06
35,1778611605.365828,1.04,0.41,0.55,0.31,-13.18,-0.49
36,1778611605.4159129,1.02,0.34,0.72,-8.97,-6.84,-3.05
37,1778611605.465801,1.1,0.4,0.74,7.26,6.9,-5.07
38,1778611605.5159109,0.99,0.34,0.62,6.9,10.31,-22.89
39,1778611605.565867,0.99,0.34,0.62,-4.27,29.6,-20.45
40,1778611605.615819,0.99,0.34,0.62,-4.27,29.6,-20.45
41,1778611605.665833,0.96,0.27,0.57,10.86,61.1,-33.51
42,1778611605.715806,0.98,0.4,0.63,43.76,38.7,-28.5
43,1778611605.765791,0.81,0.27,0.39,24.11,40.41,-40.89
44,1778611605.815893,0.62,0.25,0.25,93.51,-77.51,-5.86
45,1778611605.8658938,0.53,0.36,0.44,-13.73,26.0,-31.56
46,1778611605.915892,0.55,0.49,0.37,52.0,-17.52,-11.29
47,1778611605.9659011,0.59,0.59,0.32,38.51,-2.32,-23.07
48,1778611606.015815,0.54,0.62,0.25,8.73,40.34,-25.88
49,1778611606.065813,0.63,0.64,0.15,42.11,-5.68,-25.15
50,1778611606.115795,0.63,0.64,0.15,42.11,-5.68,-25.15
51,1778611606.1659021,0.39,0.76,-0.07,-26.92,45.29,-28.87
52,1778611606.215897,0.62,1.15,0.18,50.84,-42.79,-24.48
