id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778611220.143467,0.06,0.62,0.53,158.39,-111.27,46.63
2,1778611220.1810281,0.06,0.93,0.74,61.65,-41.5,27.22
3,1778611220.23104,0.06,0.93,0.74,61.65,-41.5,27.22
4,1778611220.281066,0.9,2.31,2.1,170.84,75.93,-61.34
5,1778611220.330981,1.0,2.27,1.67,153.81,149.78,-176.76
6,1778611220.3810592,0.62,0.79,0.77,193.24,156.56,-309.88
7,1778611220.4310138,0.62,0.04,0.14,84.59,151.18,-193.12
8,1778611220.481005,0.09,-0.17,-0.14,83.37,97.35,-116.33
9,1778611220.5309608,-0.01,-0.41,-0.13,18.25,-0.67,-29.66
10,1778611220.580975,0.31,-0.34,0.01,14.28,-53.83,26.12
11,1778611220.6310022,0.64,-0.12,0.36,12.15,-68.79,101.87
12,1778611220.681021,0.6,-0.43,-0.15,-78.74,-76.05,152.65
13,1778611220.730974,0.6,-0.43,-0.15,-78.74,-76.05,152.65
14,1778611220.7810419,0.6,-0.43,-0.15,-78.74,-76.05,152.65
15,1778611220.8310459,1.33,3.17,1.82,-233.46,-140.14,170.17
16,1778611220.8810291,0.35,1.63,0.94,-74.04,2.01,-40.59
17,1778611220.931019,0.01,0.94,0.3,-2.01,26.49,-72.08
18,1778611220.981062,-0.24,0.46,0.26,8.61,44.86,-112.61
19,1778611221.030954,-0.3,0.27,0.21,19.71,60.91,-104.19
20,1778611221.081056,-0.23,0.43,0.49,77.39,83.68,-96.56
21,1778611221.130986,-0.28,2.84,1.27,88.99,160.03,-175.42
22,1778611221.181068,0.57,3.83,3.03,111.88,147.28,-246.4
23,1778611221.230946,0.88,2.62,0.73,252.62,286.38,-201.35
24,1778611221.28096,0.88,2.62,0.73,252.62,286.38,-201.35
25,1778611221.331032,0.51,-0.83,-0.15,2.5,74.22,-64.51
26,1778611221.381046,0.39,-0.7,-0.12,62.32,33.08,-2.56
27,1778611221.4310179,0.54,-0.7,-0.15,8.73,-24.48,57.62
28,1778611221.481034,0.74,-0.16,-0.12,-54.02,-73.67,96.86
29,1778611221.531032,0.76,-0.1,-0.17,-41.14,-85.45,148.74
30,1778611221.581003,0.98,4.53,-0.21,-200.68,-139.1,258.18
31,1778611221.630993,-0.77,1.97,0.81,52.73,54.38,62.07
32,1778611221.681005,-0.59,1.41,0.01,-35.46,-58.41,24.17
33,1778611221.73107,-0.31,0.85,0.13,27.4,-72.81,-37.35
34,1778611221.780971,-0.31,0.85,0.13,27.4,-72.81,-37.35
35,1778611221.831043,-0.31,0.85,0.13,27.4,-72.81,-37.35
36,1778611221.8810549,-0.47,-0.28,-0.09,41.56,2.32,-15.56
37,1778611221.930965,-0.88,1.73,-0.52,-93.44,95.89,-101.75
38,1778611221.9810472,-0.98,5.43,1.66,290.47,-55.91,-54.63
39,1778611222.030965,0.39,4.24,0.51,102.42,239.07,-206.05
40,1778611222.080995,0.98,2.19,0.6,138.31,59.94,-267.46
41,1778611222.131026,0.54,-0.36,0.25,14.22,61.83,-163.27
42,1778611222.181036,0.54,-0.63,-0.13,50.48,14.16,-76.6
43,1778611222.230962,0.49,-0.88,0.0,41.14,-15.87,7.32
44,1778611222.280999,0.55,-0.6,0.22,36.19,-41.26,66.04
45,1778611222.3309572,0.55,-0.6,0.22,36.19,-41.26,66.04
46,1778611222.380942,0.88,0.17,-0.99,-62.56,-88.5,359.68
47,1778611222.4310248,-0.15,2.87,1.99,-307.31,-327.7,205.38
48,1778611222.480939,0.15,2.75,0.57,75.99,16.78,298.28
49,1778611222.531038,-0.09,2.42,-0.14,75.99,16.78,298.28
50,1778611222.581035,-0.53,0.88,0.13,-109.01,-20.32,6.41
51,1778611222.6309602,-0.81,0.88,0.08,-44.37,43.21,-44.98
52,1778611222.6810381,-0.81,0.88,0.08,-44.37,43.21,-44.98
53,1778611222.731006,-0.51,0.92,0.15,167.05,157.84,-104.13
54,1778611222.781045,-0.59,1.92,0.61,284.73,163.51,-87.04
55,1778611222.830986,-0.59,1.92,0.61,284.73,163.51,-87.04
56,1778611222.880956,-0.54,4.68,0.51,284.73,163.51,-87.04
57,1778611222.9310641,0.87,0.13,1.36,70.31,84.23,-242.43
58,1778611222.981049,0.7,-0.71,0.12,-63.96,118.35,-112.37
59,1778611223.0309398,0.52,-0.68,0.09,12.82,31.25,-22.28
60,1778611223.0809689,0.46,-0.26,0.33,-43.33,18.8,13.12
61,1778611223.130945,0.42,-0.44,0.1,-102.72,2.62,28.56
62,1778611223.1810439,0.43,0.19,-0.56,-127.32,-12.51,296.63
63,1778611223.2309701,0.85,2.54,0.32,-344.24,-133.36,236.76
64,1778611223.280946,0.52,3.84,0.1,66.22,170.29,296.75
65,1778611223.330938,0.52,3.84,0.1,66.22,170.29,296.75
66,1778611223.380938,0.52,3.84,0.1,66.22,170.29,296.75
67,1778611223.430963,0.52,3.84,0.1,66.22,170.29,296.75
68,1778611223.4810638,-0.47,0.52,0.48,65.73,214.23,-41.38
69,1778611223.530951,-0.24,1.91,0.45,90.94,260.74,-145.75
70,1778611223.580966,-0.59,2.98,0.86,106.57,259.22,-175.54
71,1778611223.631022,0.44,3.94,0.97,219.54,241.64,-254.33
72,1778611223.6809459,0.92,3.12,0.98,155.21,103.88,-336.85
73,1778611223.730939,0.77,0.27,1.14,41.44,181.64,-201.78
74,1778611223.7810502,0.64,-0.15,0.37,-30.82,190.31,-136.23
75,1778611223.830987,0.52,-0.47,0.28,-59.63,116.76,-72.51
76,1778611223.8810618,0.53,-0.5,0.38,-59.63,116.76,-72.51
77,1778611223.93103,0.83,-0.75,-0.26,-85.51,135.68,134.83
78,1778611223.981028,0.74,0.01,-1.29,-55.18,65.0,242.43
79,1778611224.0310268,0.98,1.65,-0.3,-243.23,-114.99,228.03
80,1778611224.081047,-0.05,3.74,0.12,56.58,139.53,187.5
81,1778611224.1310132,-0.21,2.62,-0.33,-16.36,148.13,77.64
82,1778611224.181012,-0.38,0.77,0.2,43.7,144.41,25.57
