id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778614057.886427,0.5,-1.57,-0.13,176.45,-44.56,71.96
2,1778614057.9264052,0.52,-0.85,-1.04,66.83,226.07,73.97
3,1778614057.976394,0.75,-0.2,-0.37,-73.24,-86.36,30.46
4,1778614058.026412,0.49,0.05,-0.29,-73.24,-86.36,30.46
5,1778614058.07641,0.49,0.05,-0.29,-73.24,-86.36,30.46
6,1778614058.126369,0.29,-0.36,-0.02,-234.37,-211.0,1.83
7,1778614058.1763709,0.23,-0.17,0.04,39.49,-219.79,-26.61
8,1778614058.226444,0.56,-0.9,-0.34,65.25,-137.94,-5.68
9,1778614058.27648,0.56,-0.9,-0.34,65.25,-137.94,-5.68
10,1778614058.3264792,0.02,-1.07,-0.38,-24.05,-125.37,-145.14
11,1778614058.376439,-0.07,-1.07,-0.35,-34.3,-218.75,-124.57
12,1778614058.4264529,0.01,-0.78,-0.07,-110.9,-274.9,-74.22
13,1778614058.4763598,-1.22,-0.37,-0.98,58.35,249.39,67.2
14,1778614058.5263622,-0.12,-0.24,-0.08,127.81,-578.98,54.02
15,1778614058.576361,-0.12,-0.24,-0.08,127.81,-578.98,54.02
16,1778614058.6264472,0.53,-2.44,-0.88,188.17,-335.57,247.01
17,1778614058.676432,0.85,-1.43,-0.47,-12.88,141.36,72.94
18,1778614058.7264159,0.72,-0.68,-0.37,-156.92,149.6,52.67
19,1778614058.776355,0.72,-0.68,-0.37,-156.92,149.6,52.67
20,1778614058.826454,0.29,-0.11,0.03,-107.91,-98.21,-75.26
21,1778614058.876447,0.26,-0.16,-0.14,-76.54,-118.16,-149.54
22,1778614058.926363,0.12,0.41,0.84,198.73,-232.24,-200.2
23,1778614058.9763598,1.21,-3.9,-0.11,283.69,-114.93,172.06
24,1778614059.026397,0.21,-0.32,-0.02,-50.84,-105.29,-38.51
25,1778614059.0764291,0.19,-0.12,-0.12,13.79,-59.27,-43.46
26,1778614059.126476,0.19,-0.12,-0.12,13.79,-59.27,-43.46
27,1778614059.1764638,-0.03,-0.64,-0.15,53.1,-105.41,-53.89
28,1778614059.226366,-0.02,-0.49,-0.05,-62.93,-119.87,-37.72
29,1778614059.276392,0.04,-0.47,-0.02,-127.01,-115.11,-35.28
30,1778614059.326376,0.04,-0.47,-0.02,-127.01,-115.11,-35.28
31,1778614059.3763719,-0.04,-1.32,-1.16,304.81,-119.45,117.19
32,1778614059.426377,0.29,-2.75,-0.38,-51.09,-647.4,172.49
33,1778614059.476469,0.73,-1.93,-0.25,103.7,-138.92,48.16
34,1778614059.526378,0.73,-1.93,-0.25,103.7,-138.92,48.16
35,1778614059.57638,0.63,-0.07,-0.57,-185.24,296.39,48.46
36,1778614059.626466,0.63,-0.07,-0.57,-185.24,296.39,48.46
37,1778614059.676447,-0.34,-0.9,-0.68,-6.04,-281.62,-32.71
38,1778614059.7264798,0.53,-0.16,0.14,-168.95,305.36,42.18
39,1778614059.776442,1.64,-4.13,-2.18,132.57,272.64,-132.45
40,1778614059.826404,1.64,-4.13,-2.18,132.57,272.64,-132.45
41,1778614059.876394,0.16,-2.15,-0.66,135.56,116.33,-83.07
42,1778614059.926413,0.02,-0.94,-0.21,-34.79,-270.26,-132.93
43,1778614059.9764118,0.06,-0.75,-0.01,-63.29,-211.67,-96.74
44,1778614060.026418,-0.01,-0.94,-0.03,-154.54,-220.4,-60.55
45,1778614060.0764768,0.34,-0.79,-1.71,-42.72,1150.57,366.21
46,1778614060.1264799,0.34,-0.79,-1.71,-42.72,1150.57,366.21
47,1778614060.176367,0.34,-0.79,-1.71,-42.72,1150.57,366.21
48,1778614060.226462,0.71,-2.15,-0.59,252.56,-188.66,167.66
49,1778614060.2764642,1.21,-1.26,-0.18,-22.03,222.29,21.67
50,1778614060.3264341,0.68,-0.29,-0.56,-22.03,222.29,21.67
51,1778614060.376449,0.68,-0.29,-0.56,-22.03,222.29,21.67
52,1778614060.42645,-0.84,-1.23,-0.27,193.36,-357.3,-81.12
53,1778614060.476437,0.77,0.39,0.64,291.26,-559.75,-33.81
54,1778614060.526439,0.85,-0.95,0.16,-159.42,-74.83,-79.35
55,1778614060.576406,0.06,-0.39,-0.07,81.05,-77.64,-36.74
56,1778614060.626461,0.13,-1.29,-0.21,99.43,-109.37,-106.2
57,1778614060.676435,0.13,-1.29,-0.21,99.43,-109.37,-106.2
58,1778614060.72643,0.04,-0.91,-0.13,-46.88,-219.36,-110.11
59,1778614060.7764108,0.45,-0.64,1.6,-75.13,-165.71,-43.52
60,1778614060.826455,0.75,-1.47,-1.03,64.03,1194.52,193.05
61,1778614060.876462,0.75,-1.47,-1.03,64.03,1194.52,193.05
62,1778614060.926367,0.14,-2.59,-1.1,297.67,-144.1,174.93
63,1778614060.9764411,0.03,-2.06,-0.47,147.95,-403.02,93.99
64,1778614061.026356,0.43,-2.04,-0.32,190.06,-417.66,57.01
65,1778614061.0764601,0.72,-0.52,-0.18,15.81,238.89,81.18
66,1778614061.126455,0.46,-0.32,-0.52,-160.34,107.79,24.84
67,1778614061.17643,0.38,-0.22,-0.09,-182.5,-83.01,-23.99
68,1778614061.226444,0.38,-0.22,-0.09,-182.5,-83.01,-23.99
69,1778614061.276418,0.58,-2.46,0.1,98.21,-227.54,-4.88
70,1778614061.326389,0.64,-1.68,0.21,3.48,-178.16,-77.82
71,1778614061.376414,0.09,-0.13,-0.16,14.95,-239.62,16.36
72,1778614061.426361,0.09,-0.13,-0.16,14.95,-239.62,16.36
73,1778614061.476398,0.1,-0.89,-0.33,-35.71,123.29,-12.76
74,1778614061.526409,-0.03,-0.75,-0.48,12.33,-12.63,-51.94
75,1778614061.5764549,0.16,-0.51,-0.03,-45.59,-132.69,-61.58
76,1778614061.626352,0.12,-0.47,-0.07,-37.05,-99.98,-42.3
77,1778614061.676377,-0.77,-0.3,0.11,9.64,782.47,104.68
78,1778614061.726361,-0.77,-0.3,0.11,9.64,782.47,104.68
79,1778614061.776375,0.51,-1.56,-0.27,-43.33,-666.63,21.36
80,1778614061.826412,0.45,-1.66,0.16,105.83,-359.44,40.28
81,1778614061.876394,0.72,-0.49,-0.12,88.75,65.31,18.25
82,1778614061.926412,0.72,-0.49,-0.12,88.75,65.31,18.25
83,1778614061.976362,0.33,-0.02,-0.26,-194.95,-82.58,-53.89
84,1778614062.0263932,0.2,-0.05,0.17,-138.43,-69.76,-105.77
85,1778614062.076426,0.2,-0.05,0.17,-138.43,-69.76,-105.77
86,1778614062.126473,0.58,-1.88,-0.7,-63.78,45.17,-139.47
87,1778614062.17645,0.51,-1.37,-0.81,202.39,-111.21,-1.1
88,1778614062.226479,0.51,-1.37,-0.81,202.39,-111.21,-1.1
89,1778614062.276439,0.51,-1.37,-0.81,202.39,-111.21,-1.1
90,1778614062.326431,0.12,-0.87,-0.57,24.66,-29.97,-63.96
91,1778614062.3764071,0.15,-0.63,-0.02,-90.03,-119.26,-67.87
92,1778614062.426404,0.15,-0.63,-0.02,-90.03,-119.26,-67.87
93,1778614062.476351,0.15,-0.63,-0.02,-90.03,-119.26,-67.87
94,1778614062.526407,0.3,-1.98,-0.46,-9.52,-458.44,134.22
95,1778614062.57645,0.46,-1.99,-0.17,114.5,-317.75,153.5
96,1778614062.6263978,0.93,-0.79,0.16,-25.39,117.8,17.27
97,1778614062.676476,0.68,-0.17,-0.36,-202.33,203.06,43.82
98,1778614062.726401,0.4,0.13,-0.3,-259.58,18.86,-93.32
99,1778614062.776444,0.4,0.13,-0.3,-259.58,18.86,-93.32
100,1778614062.826379,0.64,-0.31,1.45,-145.14,450.07,146.18
101,1778614062.876415,1.31,-3.74,-1.66,-277.83,462.28,247.68
102,1778614062.926367,0.4,-0.84,-0.43,193.24,-32.65,-39.92
103,1778614062.97646,0.4,-0.84,-0.43,193.24,-32.65,-39.92
104,1778614063.026475,0.09,-1.34,-0.4,68.85,-143.92,-115.66
105,1778614063.076465,0.01,-0.84,-0.21,-41.02,-94.18,-95.15
106,1778614063.1263769,0.09,-0.61,-0.05,-77.45,-96.68,-65.43
107,1778614063.176466,0.02,-0.61,0.01,-127.2,-63.29,-55.66
