id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778604366.685068,1.46441470,-0.35611832,-0.31520134,-1.12780900,0.74647677,-0.53129965
2,1778604366.6954925,1.80004400,-0.30489585,-0.71717596,-1.49921490,0.96760980,-1.57221320
3,1778604366.705536,1.67125620,-0.23806266,-0.91669980,-2.16261400,1.25715970,-2.47507140
4,1778604366.71525,1.35953060,-0.23172083,-1.11378460,-2.77714400,1.54182270,-2.82815120
5,1778604366.725359,1.16488500,-0.29562700,-1.20696070,-3.66534140,2.06594470,-2.87091180
6,1778604366.7354543,1.27269630,-0.31611600,-1.10012520,-4.60485120,2.77088260,-2.73041300
7,1778604366.745311,1.59564200,-0.29318783,-0.80449820,-5.16318200,3.18382720,-2.76584300
8,1778604366.7555308,1.92249020,-0.18537667,-0.34544697,-5.34277630,3.11052350,-3.27774760
9,1778604366.7654343,2.09713460,-0.07317501,0.02823336,-4.81254530,2.78432150,-3.95092060
10,1778604366.7756808,2.01469060,0.09756667,0.26336902,-3.89013960,2.25286940,-4.55567700
11,1778604366.7854388,1.78784820,0.25123417,0.20434119,-3.15832350,1.82648560,-4.77803200
12,1778604366.7953346,1.58149470,0.42343935,0.12287302,-2.60610180,1.30602880,-4.76703600
13,1778604366.805192,1.41416790,0.66247770,0.04481969,-2.16872260,0.37140578,-4.52635530
14,1778604366.815204,1.48197660,0.81565740,0.06335735,-1.91704640,-0.11484258,-4.25146630
15,1778604366.825237,1.90346470,0.85273266,0.23605035,-1.70324370,-0.37751442,-4.00467700
16,1778604366.8355453,2.23958180,0.88297830,0.42337835,-1.43201970,-0.37018406,-4.03766350
17,1778604366.84541,2.44252060,0.98591120,0.57607020,-1.09726580,-0.30543238,-4.24047040
18,1778604366.8554275,2.53179400,1.12348020,0.66680723,-0.74296427,-0.19669846,-4.46404700
19,1778604366.865434,2.64741040,1.24056020,0.75998336,-0.33979353,-0.16859868,-4.77070140
20,1778604366.8755963,2.73034210,1.25812220,1.01316880,-0.03924806,-0.37140578,-5.03459500
21,1778604366.885482,2.76644180,1.25178030,1.34831040,0.42867437,-0.71349007,-5.29115800
22,1778604366.895198,2.76449060,1.24007240,1.49612390,0.80008010,-0.88086700,-5.40966560
23,1778604366.90521,2.80254150,1.15372590,1.67223180,1.64063010,-1.10688700,-5.54894300
24,1778604366.91512,2.82693310,1.09079530,1.67759790,2.31258130,-1.28770290,-5.64423800
25,1778604366.9255834,2.87230160,1.00249760,1.55807880,2.72919100,-1.43308880,-5.72365050
26,1778604366.9356015,2.87230160,1.00249760,1.55807880,2.72919100,-1.43308880,-5.72365050
27,1778604366.945442,2.97230770,0.84395164,1.24928020,2.88557240,-1.51616630,-5.98143530
28,1778604366.9551284,2.95133100,0.75809306,1.14195690,2.66321780,-1.33779380,-6.08650400
29,1778604366.965239,2.86352060,0.67369790,1.16000680,2.20751260,-1.01403560,-6.15492060
