id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778604556.2467053,-0.03372148,-1.01908390,-0.01372031,0.05115993,-0.69638586,0.14798199
2,1778604556.2569442,-0.01713515,-1.05420790,-0.04786865,0.00839939,-0.76724620,0.25549420
3,1778604556.26707,0.01115919,-1.03957280,-0.04689298,0.01695150,-0.61819520,0.33979353
4,1778604556.277001,0.03359952,-1.00298540,-0.03079448,0.00106901,-0.53267410,0.38133234
5,1778604556.287032,0.09018819,-0.92834690,0.02579419,-0.06612612,-0.45203993,0.43508843
6,1778604556.2971208,0.12092169,-0.90249170,0.05457636,-0.11988221,-0.44226610,0.44364056
7,1778604556.3071365,0.16629020,-0.86200150,0.09653002,-0.19929464,-0.43982264,0.40332347
8,1778604556.3171978,0.19019403,-0.84590304,0.10921369,-0.18219042,-0.38973173,0.33001968
9,1778604556.3269672,0.20434119,-0.85175705,0.10238402,-0.08078687,-0.26878050,0.25427246
10,1778604556.3370786,0.20970736,-0.87614870,0.08530986,0.11346813,-0.06963859,0.17119485
11,1778604556.3470936,0.20970736,-0.89907690,0.07067485,0.26618433,0.07452551,0.13332124
12,1778604556.3568163,0.23312336,-0.95908040,0.02579419,0.38835728,0.18081598,0.11743876
13,1778604556.3669035,0.27312570,-1.02591350,-0.03469715,0.42012227,0.21746786,0.09178244
14,1778604556.3769805,0.30337137,-1.07030630,-0.10689648,0.41890052,0.28832817,0.01847866
15,1778604556.3870354,0.30971318,-1.09908850,-0.19714566,0.40790495,0.39461866,-0.05849030
16,1778604556.3970704,0.27800402,-1.08981970,-0.23422100,0.35781404,0.51190466,-0.15745040
17,1778604556.4071205,0.19458452,-1.03859720,-0.21909817,0.25885394,0.49968740,-0.23441936
18,1778604556.4171345,0.11311635,-0.99957050,-0.17860797,0.13179408,0.36163196,-0.27229297
19,1778604556.426999,0.05262502,-0.99957050,-0.13909347,0.01695150,0.18936808,-0.27717990
20,1778604556.4367895,0.03067252,-1.02103520,-0.12006798,-0.04657844,0.09162971,-0.27107126
21,1778604556.4472253,0.01457402,-1.06835500,-0.09713981,-0.09300416,0.06475167,-0.26129740
22,1778604556.4567635,0.01798886,-1.15957990,-0.07030898,-0.13087778,0.11728604,-0.24419320
23,1778604556.4670146,0.03847786,-1.21421720,-0.05372265,-0.18463388,0.22479823,-0.22831070
24,1778604556.4770367,0.05067369,-1.22934000,-0.03469715,-0.26526803,0.32620180,-0.20631959
25,1778604556.4875655,0.05067369,-1.22934000,-0.03469715,-0.26526803,0.32620180,-0.20631959
26,1778604556.4970264,0.06579652,-1.21129020,0.00189035,-0.37766716,0.40072730,-0.16111559
27,1778604556.506902,0.07408969,-1.13518810,0.01213485,-0.35567603,0.40439248,-0.14156792
28,1778604556.516864,0.08726119,-1.07957520,0.00189035,-0.25793764,0.37384924,-0.13545926
29,1778604556.5269985,0.09653002,-1.03420660,-0.03323365,-0.13087778,0.27366742,-0.14523310
30,1778604556.5369556,0.09506652,-0.99518000,-0.08543181,-0.06612612,0.13805544,-0.15745040
31,1778604556.5475514,0.09799352,-0.94444530,-0.14982581,-0.07834341,-0.02076940,-0.16111559
32,1778604556.556824,0.10628670,-0.86297720,-0.21812248,-0.21639885,-0.19303326,-0.15989386
33,1778604556.5668004,0.11262852,-0.76297134,-0.24153848,-0.51450086,-0.27977607,-0.15745040
34,1778604556.576771,0.10384752,-0.66394120,-0.20690231,-0.74907290,-0.26511532,-0.15256348
35,1778604556.5870872,0.08043153,-0.57710683,-0.12445848,-1.01541000,-0.21624613,-0.14156792
36,1778604556.597201,0.06384519,-0.52832350,-0.07226031,-1.13880470,-0.18936808,-0.13179408
37,1778604556.6071131,0.02433069,-0.44441620,0.03359952,-1.28663400,-0.16493349,-0.09514219
38,1778604556.617046,-0.00640281,-0.39026670,0.09506652,-1.31229030,-0.17715079,-0.05849030
39,1778604556.627071,-0.03128231,-0.36002100,0.16824152,-1.25975580,-0.21013749,0.00503963
40,1778604556.6371207,-0.04640514,-0.33465368,0.22629368,-1.11070490,-0.24801110,0.06856957
41,1778604556.6471758,-0.04347815,-0.30879852,0.24190436,-0.92988890,-0.26878050,0.10888664
42,1778604556.657177,-0.01079331,-0.28830950,0.22287886,-0.65499973,-0.28099780,0.14553854
43,1778604556.6672866,0.07213835,-0.34001982,0.15604569,-0.36056295,-0.20647229,0.15531237
44,1778604556.677217,0.17409553,-0.44587967,0.08140719,-0.14309508,-0.10140356,0.10155627
45,1778604556.6871653,0.28824854,-0.61759704,-0.04445382,0.04993819,0.07941242,-0.09025527
46,1778604556.6969051,0.33166570,-0.71857850,-0.13714215,0.11957678,0.24434592,-0.30527967
47,1778604556.706769,0.35800868,-0.91615105,-0.37032646,0.06337722,0.55222180,-0.64247704
48,1778604556.7171273,0.35605735,-1.01322980,-0.59277850,-0.05268709,0.70615970,-0.74388057
49,1778604556.727033,0.35898435,-1.08298990,-0.69912620,-0.36789330,1.01770070,-0.86727530
50,1778604556.7370589,0.35898435,-1.08298990,-0.69912620,-0.36789330,1.01770070,-0.86727530
51,1778604556.7473798,0.11409202,-1.04835380,-0.36300900,-1.28052530,2.28463440,-1.16659900
52,1778604556.7567303,0.11409202,-1.04835380,-0.36300900,-1.39536790,3.18993600,-1.11650810
53,1778604556.7670672,0.11409202,-1.04835380,-0.36300900,-1.39536790,3.18993600,-1.11650810
54,1778604556.7770555,-0.07567514,-1.10933290,0.08238286,-0.55970484,2.82708220,-0.37858346
55,1778604556.7869859,-0.06933331,-1.11665050,0.14628904,-0.27870706,1.85825060,-0.13057235
