id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778604717.5083473,0.22239104,0.00975667,1.20830210,0.42149670,-0.61422455,0.27015495
2,1778604717.5588005,0.20434119,-0.02585517,1.52490600,1.12765630,-0.84757490,0.63667380
3,1778604717.6086485,0.40532854,0.00926883,1.43416900,2.02684930,-0.32833982,1.04961840
4,1778604717.6587315,0.65705050,0.22196417,1.28098940,1.82159880,1.50914140,0.26282457
5,1778604717.7087317,0.63802505,0.27465016,1.61710660,2.28463440,0.93737200,-0.60949033
6,1778604717.7586899,0.47899136,0.32587266,1.62881450,2.66703560,1.97462030,-0.64369875
7,1778604717.808447,0.44142820,0.28196767,1.25659760,3.62853670,1.60199280,-1.07985620
8,1778604717.8588119,0.35361820,0.22976951,1.08878300,3.61876300,1.94652060,-1.04931300
9,1778604717.9084206,0.16726585,0.18684018,0.66192890,3.73604900,1.57267140,-1.28144160
10,1778604717.9587693,-0.02396481,0.18440100,0.29459035,3.44405560,1.55068030,-1.20569430
11,1778604718.0087895,-0.21226847,0.28830950,0.06774786,2.89427730,1.22081330,-0.99922204
12,1778604718.058669,-0.28349215,0.36928985,-0.11031131,2.53264550,0.76510810,-0.71944600
13,1778604718.108531,-0.24641682,0.48295498,-0.18202282,2.33961200,0.96669350,-0.54718214
14,1778604718.1588585,-0.36252114,0.57954603,-0.50789547,1.99508440,0.66614807,-0.41645706
15,1778604718.2084956,-0.38740066,0.62003620,-0.85279363,1.12032600,1.12185310,-0.46654797
16,1778604718.2585065,-0.54399514,0.59710800,-1.01133950,0.29199335,0.02840521,-0.26618433
17,1778604718.3083892,-0.52594537,0.52832350,-0.93572540,-0.50579600,-0.14385866,0.03436114
18,1778604718.358706,-0.51472515,0.52246950,-0.75815400,-1.03236150,-1.08703390,0.27137667
19,1778604718.408423,-0.47667417,0.43905002,-0.58399750,-1.40621080,-1.22508930,0.72097313
20,1778604718.4585285,-0.36252114,0.40099900,-0.37910750,-1.88390700,-1.80541090,1.17301310
21,1778604718.5085192,-0.08543181,0.31514034,-0.02250131,-3.00056800,-1.26784980,1.57129690
22,1778604718.5585353,-0.19665782,0.44636750,0.30824968,-1.70064760,-2.82799840,1.77410400
