id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778604872.4351761,0.97316660,0.02878217,-0.22592781,-0.09896009,0.04550943,-0.05360339
2,1778604872.4852355,0.97609350,0.01609850,-0.21714681,-0.03909535,0.07116575,-0.04749474
3,1778604872.535307,0.95023835,0.02146467,-0.21519548,0.03543016,-0.00702494,-0.05482511
4,1778604872.585527,0.86437976,0.05610084,-0.28934616,0.07208204,-0.06078105,-0.02183841
5,1778604872.6356142,1.00731490,0.12976366,-0.25519782,0.05619956,-0.07910699,0.01237001
6,1778604872.6855485,0.96438557,0.00731750,-0.27324766,-0.00244346,-0.00580322,0.07834341
7,1778604872.7354407,0.93853040,-0.01463500,-0.26641798,-0.03298670,-0.02046397,0.03558287
8,1778604872.7855692,0.97121520,-0.00341483,-0.24885598,-0.05864302,0.01007927,0.07712168
9,1778604872.8355305,0.96292200,0.02829433,-0.24739249,-0.06475167,0.10659590,0.03313941
10,1778604872.8854754,0.97023950,-0.00926883,-0.24348982,-0.07452551,0.00885754,0.03558287
11,1778604872.9356992,0.98682590,-0.00975667,-0.23958716,-0.05253437,0.01618792,-0.01817323
12,1778604872.9854243,0.92340750,-0.06146700,-0.23763582,-0.05253437,-0.04489856,-0.02306015
13,1778604873.03528,0.89316183,0.05805217,-0.25861263,-0.05619956,-0.02046397,0.01359174
14,1778604873.085295,0.95901930,-0.00195133,-0.25373432,-0.02932151,-0.10598504,-0.06093376
15,1778604873.1352148,0.97023950,0.01219583,-0.25178298,-0.00488692,-0.08888082,-0.08414663
16,1778604873.1852891,0.95658020,0.01756200,-0.25910050,0.00366519,-0.06688970,-0.08536835
17,1778604873.23543,0.96048290,0.02048900,-0.26446667,0.01466075,-0.06688970,-0.13423753
18,1778604873.2857625,0.93999386,0.04634417,-0.27227200,-0.02076940,-0.02779435,-0.08170316
19,1778604873.3353338,0.91852920,0.04975900,-0.28397998,-0.00610865,0.05650499,0.00870482
20,1778604873.3855612,0.95121410,0.06439400,-0.26446667,-0.02809978,0.06872228,-0.03772090
21,1778604873.4356675,0.92731017,0.01853767,-0.27032065,-0.03543016,0.03940078,0.03558287
22,1778604873.4852607,0.91462654,0.05756433,-0.26153967,-0.02443459,0.10781763,0.16508621
23,1778604873.5353372,0.96682465,0.06244267,-0.25812483,0.03420843,0.01007927,0.22983788
24,1778604873.5855558,0.97463006,0.02487950,-0.23763582,0.00610865,0.11514801,0.24083345
25,1778604873.6353397,0.93999386,-0.01512283,-0.24739249,-0.01099557,0.02962694,0.18096869
26,1778604873.6856675,0.99024075,-0.03609967,-0.23129399,0.03298670,0.07971785,0.13698642
27,1778604873.7355788,0.98243540,-0.06488183,-0.24934383,0.01832594,-0.05467240,0.10399973
28,1778604873.7852702,0.97365440,-0.04097800,-0.25763696,-0.04398226,-0.00824667,0.01725693
29,1778604873.8357248,0.96780044,-0.05658867,-0.25519782,-0.05986475,-0.03756818,-0.04382955
