id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778603978.2930667,0.36288702,0.93176160,0.11409202,0.09544762,0.05482511,-0.03405571
2,1778603978.3035684,0.36288702,0.93176160,0.11409202,0.09544762,0.05482511,-0.03405571
3,1778603978.3135414,0.33361703,0.93566430,0.07994369,0.10888664,0.01695150,-0.04016436
4,1778603978.323204,0.33361703,0.93566430,0.07994369,0.10888664,0.01695150,-0.04016436
5,1778603978.3332052,0.32190904,0.93371300,0.07945585,0.10522146,0.01939496,-0.03283398
6,1778603978.3431063,0.31312802,0.93127380,0.08043153,0.10399973,0.03527744,-0.01817323
7,1778603978.353386,0.31068885,0.92883470,0.07506536,0.10522146,0.04993819,-0.00106901
8,1778603978.3636959,0.33556834,0.93859136,0.06091819,0.08689552,0.06826414,0.03191768
9,1778603978.373249,0.33556834,0.93859136,0.06091819,0.08689552,0.06826414,0.03191768
10,1778603978.3833585,0.35996002,0.94346964,0.07165052,0.05513055,0.01572977,-0.00962112
11,1778603978.393144,0.35996002,0.94346964,0.07165052,0.05513055,0.01572977,-0.00962112
12,1778603978.4034514,0.36922884,0.94298184,0.05994253,0.04291325,0.00106901,-0.03405571
13,1778603978.4135742,0.37996120,0.94200623,0.07018703,0.01603520,0.01328631,-0.07192933
14,1778603978.423093,0.36678970,0.94054264,0.06969919,-0.00106901,0.00595593,-0.10002911
15,1778603978.4334977,0.36678970,0.94054264,0.06969919,-0.00106901,0.00595593,-0.10002911
16,1778603978.4434733,0.32093337,0.94054264,0.07116269,-0.00839939,0.01817323,-0.11224640
17,1778603978.4535599,0.32093337,0.94054264,0.07116269,-0.01328631,0.03039052,-0.09636392
18,1778603978.463255,0.31605503,0.93956697,0.06677218,-0.02183841,0.03039052,-0.07681625
19,1778603978.4732153,0.31117670,0.93273740,0.07262619,-0.04016436,0.01695150,-0.04260782
20,1778603978.483312,0.30385920,0.92981035,0.08677336,-0.03527744,0.02061669,-0.00351247
21,1778603978.4933794,0.30385920,0.92981035,0.08677336,-0.03527744,0.02061669,-0.00351247
22,1778603978.5034509,0.34630070,0.92590770,0.09555435,-0.01939496,-0.03069595,0.00259618
23,1778603978.513458,0.35996002,0.92346860,0.08921252,-0.01939496,-0.03069595,0.00259618
24,1778603978.5235977,0.35996002,0.92346860,0.08921252,-0.00106901,-0.06368265,-0.03649917
25,1778603978.5333624,0.30239570,0.91322400,0.07652886,0.01359174,-0.07101303,-0.07925971
26,1778603978.5433786,0.30239570,0.91322400,0.07652886,0.01359174,-0.07101303,-0.07925971
27,1778603978.5534184,0.29263905,0.91517540,0.07018703,0.00137445,-0.06001746,-0.04749474
28,1778603978.5634205,0.29898086,0.92249280,0.07555319,-0.03039052,-0.05879574,-0.00717766
29,1778603978.5732787,0.29898086,0.92249280,0.07555319,-0.03039052,-0.05879574,-0.00717766
30,1778603978.5833037,0.29166338,0.92200500,0.08921252,-0.02428187,-0.04535671,0.01359174
31,1778603978.5931666,0.29166338,0.92200500,0.08921252,-0.02428187,-0.04535671,0.01359174
32,1778603978.603192,0.29849303,0.92444420,0.08970036,-0.02672533,-0.04902190,0.03069595
33,1778603978.6133492,0.31800637,0.92493200,0.10823802,-0.02550360,-0.05879574,0.03558287
34,1778603978.623492,0.33605620,0.92249280,0.10970152,0.02458731,-0.05390882,-0.01939496
35,1778603978.633378,0.32629952,0.92883470,0.10043269,0.03436114,-0.04902190,-0.03283398
