id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778604227.9548652,0.72046890,0.74345803,0.04872235,-0.13194679,0.24572036,-0.00595593
2,1778604227.9653614,0.71900535,0.72784734,0.04530752,-0.11117739,0.18707734,0.00015272
3,1778604227.9750195,0.69949204,0.71370020,0.04774669,-0.08307761,0.20662501,-0.03283398
4,1778604227.9850411,0.67119770,0.68540585,0.04774669,-0.03420843,0.27992877,-0.07192933
5,1778604227.9950492,0.63607370,0.68638150,0.06286953,0.00733038,0.35811950,-0.07559452
6,1778604228.0051723,0.63656150,0.68589365,0.08579769,0.02199113,0.38499752,-0.06215549
7,1778604228.0153887,0.65168434,0.70052870,0.12775135,0.03054324,0.33124143,-0.05238165
8,1778604228.0250783,0.66339236,0.73418920,0.15311868,0.04520399,0.18952079,-0.04627301
9,1778604228.035364,0.66924640,0.75077550,0.14141070,0.05009091,0.07834341,-0.03283398
10,1778604228.0449827,0.69022320,0.75711733,0.11360419,0.05497783,0.03924806,-0.00962112
11,1778604228.0550113,0.69022320,0.75711733,0.11360419,0.05497783,0.03924806,-0.00962112
12,1778604228.065155,0.70534605,0.75321466,0.08530986,0.06963859,0.10155627,-0.02183841
13,1778604228.0752406,0.71071220,0.77370370,0.11360419,0.08918626,0.10522146,-0.03772090
14,1778604228.085378,0.70534605,0.76784970,0.10189619,0.11972950,0.06856957,-0.07559452
15,1778604228.0952132,0.70534605,0.76784970,0.10189619,0.11972950,0.06856957,-0.07559452
16,1778604228.1050513,0.66875860,0.74150670,0.06335735,0.13072506,0.03313941,-0.10369430
17,1778604228.1152666,0.66973420,0.73418920,0.07799236,0.11117739,0.06490438,-0.08414663
18,1778604228.1253836,0.68241787,0.73077434,0.09018819,0.08918626,0.06612612,-0.04627301
19,1778604228.135365,0.69754070,0.73223790,0.11116502,0.07819069,0.07834341,-0.01328631
20,1778604228.145269,0.70534605,0.73857970,0.12970269,0.09162971,0.04046979,0.00503963
21,1778604228.1553917,0.70534605,0.73857970,0.12970269,0.09162971,0.04046979,0.00503963
22,1778604228.1651256,0.71998100,0.75223905,0.11457986,0.11362085,-0.02550360,0.00748309
23,1778604228.1751232,0.71949320,0.75906867,0.08384635,0.11239912,-0.05604684,-0.03161225
24,1778604228.1851723,0.70339470,0.77419150,0.08335852,0.10506874,-0.08292489,-0.05726858
25,1778604228.1951451,0.67070990,0.75272685,0.07311402,0.09040799,-0.11224640,-0.06948587
26,1778604228.2048864,0.64241550,0.71906640,0.06238169,0.07452551,-0.09025527,-0.05849030
27,1778604228.2149951,0.64241550,0.71906640,0.06238169,0.07452551,-0.09025527,-0.05849030
28,1778604228.2252302,0.62339000,0.67662483,0.07213835,0.05009091,0.00626136,0.00015272
29,1778604228.2349293,0.64778167,0.67906404,0.05360069,0.02443459,-0.00473420,0.02580904
30,1778604228.245179,0.66924640,0.66979520,0.04725886,-0.04276054,-0.04260782,0.04902190
31,1778604228.2550588,0.69754070,0.67174655,0.04823452,-0.10262528,-0.09758565,0.06612612
32,1778604228.2649515,0.70583385,0.67857620,0.03506302,-0.14782928,-0.11224640,0.07223476
33,1778604228.275078,0.68339354,0.69857734,0.04091702,-0.18203771,0.01481347,0.07101303
34,1778604228.2849298,0.68436920,0.71711504,0.07018703,-0.16249003,0.08200860,0.05390882
35,1778604228.2951264,0.69168670,0.72199330,0.07652886,-0.12461641,0.08078687,0.03558287
36,1778604228.3053567,0.69168670,0.72199330,0.07652886,-0.12461641,0.08078687,0.03558287
37,1778604228.3152199,0.72095670,0.71906640,0.07018703,-0.01832594,-0.05482511,-0.00595593
38,1778604228.3253438,0.72534720,0.69223550,0.04384402,0.01832594,-0.10002911,-0.02794706
39,1778604228.3354506,0.73315257,0.68979630,0.03994136,0.03298670,-0.09514219,-0.02061669
40,1778604228.3448865,0.75364155,0.68979630,0.06238169,0.05253437,-0.07803798,0.00381790
41,1778604228.3549693,0.75364155,0.68979630,0.06238169,0.05253437,-0.07803798,0.00381790
42,1778604228.3650396,0.76388603,0.70150435,0.08384635,0.11850777,-0.05238165,0.05268709
43,1778604228.3751318,0.76534950,0.73614050,0.11116502,0.11850777,-0.05238165,0.05268709
44,1778604228.3858187,0.63948850,0.72492033,0.10531103,0.13072506,0.08323032,0.09911281
45,1778604228.395338,0.65217220,0.75028770,0.13945936,0.13561198,0.14798199,0.07712168
46,1778604228.4050314,0.61997520,0.69418687,0.12726352,0.15515965,0.11988221,0.04046979
47,1778604228.4153824,0.59216870,0.70004090,0.13994719,0.15515965,0.09544762,0.00503963
48,1778604228.4253983,0.60924286,0.67564917,0.10238402,0.16737695,0.06856957,0.01603520
49,1778604228.4349763,0.63753720,0.69955300,0.10482319,0.16859868,0.07589995,0.02580904
50,1778604228.4452174,0.67266124,0.61564570,0.06726002,0.15149446,0.08689552,0.03191768
51,1778604228.4551432,0.67266124,0.61564570,0.06726002,0.15149446,0.08689552,0.03191768
52,1778604228.465383,0.67266124,0.61564570,0.06726002,0.15149446,0.08689552,0.03191768
53,1778604228.4749966,0.77608186,0.69125986,0.08091935,0.13072506,0.10399973,-0.04871647
54,1778604228.485185,0.77608186,0.69125986,0.08091935,0.13072506,0.10399973,-0.04871647
55,1778604228.4952774,0.75022670,0.70394355,0.10775018,0.13194679,0.10399973,-0.04260782
56,1778604228.505191,0.71998100,0.69467470,0.10092052,0.12461641,0.06246093,-0.02183841
57,1778604228.5152504,0.70583385,0.68345450,0.07457753,0.10140356,0.00503963,0.00870482
58,1778604228.5253532,0.70046770,0.68540585,0.04823452,0.08674280,-0.05604684,0.00015272
59,1778604228.5350757,0.69754070,0.67955184,0.02920902,0.06352994,-0.04382955,0.00015272
60,1778604228.5449638,0.68046653,0.68638150,0.04530752,0.04276054,-0.01939496,-0.02061669
61,1778604228.5550253,0.69607717,0.69174767,0.03847786,0.03909535,-0.02550360,-0.02306015
62,1778604228.5652242,0.70388250,0.67613703,0.03799002,0.04031708,0.01603520,-0.01939496
63,1778604228.574983,0.68046653,0.69321120,0.05555202,0.04153880,0.04291325,-0.01450804
64,1778604228.5851507,0.68241787,0.69077200,0.05945469,0.03909535,0.06368265,0.00503963
65,1778604228.5950835,0.69119890,0.68199100,0.06872352,0.03665189,0.06001746,0.00503963
66,1778604228.6052887,0.70046770,0.68589365,0.07360186,0.03909535,0.03924806,0.00137445
67,1778604228.6153128,0.70973650,0.69272333,0.07848018,0.04276054,0.02214385,-0.00229074
68,1778604228.6253626,0.71949320,0.70882183,0.08677336,0.05009091,0.01970039,-0.00595593
