id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1,1778607406.058264,0.07293109,-3.29068,-0.80346155,6.7017975,-3.7685776,-7.5747232
2,1778607406.0687099,-0.11171384,-3.0567636,-1.0968933,6.1129236,-3.7478082,-7.1666656
3,1778607406.0798862,-0.43856218,-2.5072193,-1.4042283,4.4721413,-2.9744532,-6.415302
4,1778607406.090504,-0.61832875,-2.2262275,-1.3861785,3.5790567,-2.4527748,-6.0548916
5,1778607406.101773,-0.8707825,-1.8857199,-1.1944599,2.2999058,-1.5743513,-5.4000444
6,1778607406.1131132,-1.0693307,-1.8052273,-0.8829783,1.1588105,-1.1455241,-4.4800825
7,1778607406.123622,-1.1817763,-1.671561,-0.46856394,0.6395754,-1.4191916,-3.483151
8,1778607406.1345751,-1.2134855,-1.6379005,-0.41026786,0.5870411,-1.7368413,-2.7757695
9,1778607406.145341,-1.2134855,-1.6379005,-0.41026786,0.5870411,-1.7368413,-2.7757695
10,1778607406.161642,-1.4298396,-1.3442248,-1.0849414,-0.41844237,-1.8639011,-0.17226386
11,1778607406.1792,-1.3961791,-1.4193511,-1.3922764,-1.0109812,-1.5853468,0.54489136
12,1778607406.182652,-1.3961791,-1.4193511,-1.3922764,-2.0005822,-1.1565198,1.5247185
13,1778607406.197207,-1.2025092,-1.5044781,-1.273245,-3.0610435,-0.73868823,2.4556763
14,1778607406.212188,-0.97371536,-1.668146,-1.0034732,-3.99811,-0.44425142,3.2913394
15,1778607406.222893,-0.79102176,-1.8218136,-0.7273595,-4.5295625,-0.3037525,3.8655524
16,1778607406.233855,-0.26904008,-2.1842737,0.059759583,-4.8533206,-0.4149299,5.4916744
17,1778607406.2456949,-0.021708583,-2.3296483,0.122446164,-4.8533206,-0.4149299,5.4916744
18,1778607406.256382,0.20952442,-2.5099025,-0.01536675,-4.147161,-1.091768,6.8343554
19,1778607406.2671099,0.35758185,-2.646252,-0.22245201,-3.9516842,-1.4558434,7.35359
20,1778607406.279252,0.6515014,-2.9433424,-0.6710147,-4.274221,-1.950644,9.149532
21,1778607406.289829,0.97908145,-3.3170226,-1.0639645,-4.274221,-1.950644,9.149532
22,1778607406.300492,1.2300718,-3.5619154,-1.255439,-4.8007865,-1.5364777,9.823927
23,1778607406.312518,1.8320581,-3.9853544,-1.4720371,-5.510611,-0.8669698,10.368819
24,1778607406.322878,2.1354904,-4.152437,-1.513259,-7.115964,0.15317434,10.973575
25,1778607406.333568,3.8716893,-4.595634,-0.85931844,-8.0371475,1.0560325,10.610722
26,1778607406.345663,3.8716893,-4.595634,-0.85931844,-8.0371475,1.0560325,10.610722
27,1778607406.3551638,4.528069,-4.2890306,-0.25928342,-8.117782,1.6925536,8.874643
28,1778607406.365609,4.741496,-4.136583,-0.22513509,-7.9785047,1.0694715,7.773865
29,1778607406.37603,5.0220003,-3.5602078,-0.33684894,-7.9296355,0.12018765,6.8978853
30,1778607406.389106,5.410804,-3.1250603,-0.46295384,-8.127556,-0.51999867,6.3407764
31,1778607406.399366,5.883758,-2.62869,-0.3100181,-8.447649,-0.44180796,5.6187344
32,1778607406.410656,5.985959,-1.7096119,0.07049192,-8.644347,0.16050471,4.557051
33,1778607406.421505,5.985959,-1.7096119,0.07049192,-8.691995,0.6846267,3.5833328
34,1778607406.431795,4.7607656,-1.1295781,0.014391083,-8.877698,1.3406955,0.4007273
35,1778607406.442612,4.7607656,-1.1295781,0.014391083,-8.877698,1.3406955,0.4007273
36,1778607406.45342,3.9873056,-0.8990769,-0.049027253,-8.910685,0.9314161,-1.197295
37,1778607406.463725,3.7270465,-0.87810004,-0.05780825,-8.908241,0.66019213,-1.820377
38,1778607406.474422,3.2882404,-0.8749291,-0.06829667,-8.853263,0.26801693,-2.8050911
39,1778607406.484829,3.2882404,-0.8749291,-0.06829667,-8.853263,0.26801693,-2.8050911
40,1778607406.495845,2.824311,-0.9207854,-0.062686585,-8.760412,-0.039858926,-3.6786277
41,1778607406.507037,2.1335392,-1.012742,-0.02853825,-8.684665,-0.45402524,-4.629133
42,1778607406.518469,1.888159,-1.0717698,0.011464084,-8.685886,-0.5077813,-4.7549715
43,1778607406.5276291,1.6357052,-1.1990943,0.067321,-8.728647,-0.5065596,-4.973661
44,1778607406.538495,1.589605,-1.3744705,0.163912,-8.80195,-0.3440696,-5.2021246
45,1778607406.548942,1.589605,-1.3744705,0.163912,-8.80195,-0.3440696,-5.2021246
46,1778607406.559455,1.308613,-1.6937574,0.70809007,-8.481857,-0.25977024,-6.1098695
47,1778607406.569963,1.0144495,-1.7808355,0.9466406,-8.155656,-0.34529132,-6.339555
48,1778607406.580411,0.38416874,-1.8108373,1.2583661,-6.821527,-0.77289665,-6.422632
49,1778607406.590755,0.38416874,-1.8108373,1.2583661,-6.821527,-0.77289665,-6.422632
50,1778607406.601155,-0.327824,-1.5913124,1.2720255,-5.4861765,-0.77656186,-5.5222178
51,1778607406.6124969,-0.67174655,-1.3866663,1.281782,-4.865538,-0.5603157,-4.6645637
52,1778607406.625291,-0.8841979,-1.1395786,1.3212966,-4.23146,-0.24388777,-3.7067275
53,1778607406.635904,-0.9481041,-0.9593243,1.3166622,-3.4202318,0.116522454,-2.5692973
