id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778612692170,-1.295944,-2.455948,1.0648217,0.97310835,-0.7470882,-7.348098
1,1778612692220,-4.0821013,-4.154587,-2.404452,1.4691309,1.5754215,-2.547919
2,1778612692270,-0.009030119,-2.9762783,-0.99819416,-5.2247305,1.6578883,1.7482964
3,1778612692320,-0.32581642,-2.153073,1.1521943,-9.00171,3.3414328,0.75869465
4,1778612692370,0.5252112,-1.5707525,2.106214,-8.501411,3.0469959,2.1355848
5,1778612692420,0.63381666,-1.3096112,1.8741156,-7.2967854,1.1478158,2.6438248
6,1778612692470,0.8983747,-1.2710502,2.3912728,-7.58939,-0.82344633,3.137404
7,1778612692520,0.93229866,-1.2954559,2.335384,-7.710952,0.21930063,2.5228734
8,1778612692570,0.746083,-0.71948075,3.389223,-7.6535306,-0.65118235,2.6853635
9,1778612692620,0.81734776,0.8871481,3.030947,-5.411044,1.1258247,1.2027937
10,1778612692670,2.0237226,2.2484994,4.5343394,-3.2717943,-1.1166617,2.2852468
11,1778612692720,2.1223218,3.2113054,4.7505746,-1.3713925,1.8979583,-0.49296826
12,1778612692770,1.2212625,2.2697322,4.0645294,2.2382102,1.0048733,-1.6890424
13,1778612692820,0.70166457,0.79318607,3.9007668,5.4147096,0.6762278,-0.53023106
14,1778612692870,0.99111646,0.32898918,3.0485191,7.13063,0.79412484,-0.21319197
15,1778612692920,0.9984382,-0.73290396,2.7678533,8.005389,0.17348573,-1.9407189
16,1778612692970,0.5779276,-1.487773,2.4234886,9.020647,-0.017715093,-1.1539245
17,1778612693020,0.42807645,-1.2542102,1.6510473,8.819673,-2.7397306,0.2864958
18,1778612693070,0.6892177,-0.7558453,1.4021089,7.467828,-4.5937066,0.032986723
19,1778612693120,0.81783587,-0.3121492,1.1612244,4.4452662,-3.8741074,-1.1484267
20,1778612693170,0.07809832,-0.95987713,0.97452056,3.6963456,-2.9431489,-2.3041837
21,1778612693220,-2.1425786,-2.8776789,-1.641285,0.43371433,-0.2846632,-1.4147639
22,1778612693270,-3.8507352,-3.142237,-2.1032853,-1.2223413,1.1600331,-1.1630874
23,1778612693320,-0.4544346,-2.455704,-0.87860614,-2.1313088,2.4452937,5.332854
